stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,18.4,0,0,47.32,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,231.33,7.89,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,31.47,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,236.02,3.15,0,0,132.17,0,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,53,8,30,0,0,0,6,5,1,0,0,2,0,0,1,0,31,0,0,18,331,9,1,5,7,0,4,60,3,0,56,110,0,0,1,0,0
 24-34,0,0,0.82,1.64,22.16,3.28,59.92,0,1.64,0.82,15.6,0.82,0,0.82,0.82,0.82,0.82,0.82,0.82,1.64,44.33,0.82,0.82,21.34,685.41,2.46,10.67,7.39,0,0,14.78,0,1.64,0,13.13,140.37,0,0,8.21,0,0.82
 36-46,0,0,0.81,0,8.86,0.81,122.46,0,0.81,1.61,19.34,0,0,1.61,0,0.81,0,0.81,0.81,0,46.73,0,1.61,16.11,758.13,0.81,3.22,2.42,0,0,16.92,0.81,1.61,0,0,160.33,0,0,1.61,0,0
 48-58,0,0,0,0.57,7.46,0,234.11,0.57,0,2.3,37.87,0.57,0,0.57,1.15,1.15,2.3,1.72,0.57,0,59.68,0.57,2.87,10.9,666.76,1.15,4.02,2.3,0,0,7.46,0,1.15,0.57,0,135.42,0,0,5.16,0,0
 60-70,0,0,0.98,0,3.93,0.98,270.9,0,0,4.91,30.43,2.94,0,0.98,0.98,0,1.96,2.94,0,0.98,64.78,0.98,0,7.85,602.65,0.98,1.96,0.98,0,0,2.94,0,0,0,0,77.54,0,1.96,2.94,0,3.93
 72-82,0,0,0,0,5.89,5.89,224.8,0,0.98,5.89,42.21,5.89,0.98,0.98,6.87,0,2.94,0.98,0.98,0.98,106.02,1.96,3.93,11.78,509.48,0,5.89,2.94,0,2.94,12.76,0,0.98,0.98,0,43.19,0.98,1.96,5.89,1.96,0
 84-94,0,0,0,0,10.62,7.43,129.57,1.06,2.12,6.37,23.36,4.25,1.06,1.06,6.37,2.12,3.19,3.19,2.12,0,69.03,1.06,3.19,5.31,223.03,2.12,3.19,7.43,0,0,26.55,0,2.12,0,0,24.43,1.06,2.12,7.43,3.19,2.12
 96-106,0,0,0,0,14.21,10.93,102.73,0,2.19,6.56,37.16,7.65,0,0,10.93,4.37,6.56,2.19,6.56,0,83.06,0,1.09,13.11,217.48,2.19,1.09,8.74,0,3.28,24.04,0,5.46,0,0,13.11,3.28,3.28,5.46,1.09,1.09
108-118,0,0,0,0,15.32,8.43,109.53,0,2.3,3.83,20.68,3.06,0,0,7.66,2.3,3.83,2.3,2.3,0,55.92,0.77,3.06,11.49,238.98,3.06,5.36,6.13,0,0,7.66,0,0.77,0,0,8.43,2.3,1.53,6.89,0,3.06
120,0,0,0,0,9.8,7.84,78.39,0,3.92,1.96,13.72,5.88,0,0,1.96,5.88,7.84,1.96,3.92,0,43.12,3.92,5.88,11.76,192.06,3.92,7.84,5.88,0,0,9.8,0,9.8,0,0,7.84,0,0,7.84,0,0
