stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0.82,3.28,3.28,0,0,0,0,0,0,0,0,0,0,0.82,7.39,0,0,0.82,3.28,0,0,0.82,0,0,0,6.57,0,0.82,0
 36-46,0,0,0,4.83,0,0,0,0,0,2.42,0,0,0,0.81,0,29,0,1.61,3.22,9.67,0,0,0,0,0,0.81,7.25,0.81,0,0
 48-58,0,0,0.57,0,0,1.72,0,0,0.57,6.31,0.57,1.15,0,0.57,0,63.69,0,2.3,2.3,7.46,0,0,0.57,0,0,0,9.18,0.57,0,0
 60-70,0,0.98,0,0.98,0,2.94,0,0,0,24.54,0,2.94,0,0,0,115.82,0,2.94,5.89,6.87,0,0,0,0,0,0,8.83,3.93,0,0.98
 72-82,0,0,0,5.89,0,9.82,0.98,0,0,40.25,1.96,3.93,0,0,0,236.58,0,14.72,3.93,16.69,0,0.98,0,0,0,0,3.93,10.8,0.98,8.83
 84-94,0,0,0,4.25,0,8.5,0,0,0,20.18,1.06,1.06,0,0,1.06,108.33,0,6.37,3.19,8.5,0,0,0,1.06,0,0,4.25,10.62,0,3.19
 96-106,0,0,0,6.56,0,9.84,2.19,1.09,0,24.04,1.09,6.56,0,0,3.28,118.03,0,2.19,4.37,10.93,1.09,0,1.09,2.19,1.09,0,4.37,10.93,1.09,8.74
108-118,0,0,0,10.72,0.77,3.83,0,0,0,13.02,2.3,0.77,0,0,1.53,117.96,0.77,4.6,1.53,15.32,0,0,0.77,0.77,0,0,0,7.66,0,5.36
120,0,0,0,15.68,0,13.72,0,3.92,1.96,15.68,1.96,5.88,3.92,0,1.96,92.11,0,9.8,3.92,9.8,0,1.96,0,0,0,0,0,3.92,0,5.88
