stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,7.89,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,0,2.3,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,3.92,0,0,0
