stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,39.43,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,5,25,1,0,0,0,0,1,1,2,25,0,1,0,0
 24-34,0,0,0.82,0,4.93,0,2.46,0,0.82,0.82,3.28,0,0,0,0,0.82,0,0,0,5.75,0,4.1,132.16,4.93,2.46,1.64,0,0,0.82,0,1.64,32.83,0,0,0,0
 36-46,0,0,0.81,0,3.22,0,16.92,0,0.81,0,1.61,0,0,0.81,0,0,0,0,0,16.92,0,3.22,232.03,3.22,3.22,0.81,0,0,0.81,0,0,54.79,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,20.08,0,0.57,0,7.46,0,0,0,0.57,0,0,0,1.72,9.75,0,1.72,164.11,1.72,1.72,0,0,0,1.15,0,0,43.04,0,1.72,0,0
 60-70,0,0,0,0,0,0.98,46.13,0.98,0,0,7.85,0,0,0,0,0,0,1.96,0,12.76,0,4.91,202.19,0,0.98,1.96,0,0,0.98,0,0,38.28,0,1.96,0,0.98
 72-82,0,0,0,0.98,3.93,3.93,30.43,0,0,0,7.85,0.98,0,0,0,0,0.98,0,0.98,19.63,0,4.91,110.93,0.98,0,3.93,0,0.98,0,0,0,9.82,0.98,1.96,0,0
 84-94,0,0,0,0,4.25,1.06,21.24,0,1.06,0,3.19,2.12,0,0,1.06,0,0,0,0,13.81,2.12,3.19,57.35,0,0,3.19,0,0,0,0,0,7.43,0,0,0,0
 96-106,0,0,2.19,0,4.37,1.09,9.84,1.09,0,0,4.37,3.28,0,1.09,1.09,0,0,6.56,0,8.74,0,3.28,32.79,1.09,4.37,3.28,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,3.06,0.77,6.13,1.53,0,0,1.53,0.77,0,0,0,0,0,2.3,0,3.06,0,0.77,32.17,0,0.77,4.6,0,0,1.53,0,0,1.53,0.77,0,1.53,0
120,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,3.92,0,1.96,41.16,1.96,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0
