stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,12,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,1,0,1,1,0,1,0,4,0,1,1,0,0,1,0,0
 24-34,0,0,0,0.82,3.28,0,2.46,11.49,0,0.82,0,0,0,0,0.82,0,0,4.1,0,0,2.46,96.86,0,7.39,1.64,0,0,1.64,0,0,0,0,9.03,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,9.67,0,0.81,1.61,0,0,0,0,0,0,0,2.42,0,0,0,209.47,0.81,10.47,2.42,0,0,0.81,0,0,0,0,25.78,0,0,3.22,0,0
 48-58,0,0,0,0.57,3.44,0,35,2.3,0.57,2.87,1.15,0,0,0,0,0,0,10.9,0.57,0,0.57,353.46,0,9.75,1.72,0,0,0.57,0,0,0,0,30.99,0,0,1.72,0,0
 60-70,0,0,0,0,4.91,0,80.48,0.98,0,7.85,0.98,0,0,0,0,0,0.98,20.61,0,0,0.98,604.62,0,18.65,1.96,0,0,0.98,0,0,0.98,0,60.85,0,0.98,0,0,0
 72-82,0,0,2.94,0.98,3.93,1.96,162.96,0,2.94,10.8,4.91,0,0.98,0,0,0.98,0,45.16,0,0,2.94,801.04,0,29.45,6.87,0,0,0.98,0,0,0,0,59.88,0,0.98,1.96,0.98,0
 84-94,0,0,3.19,1.06,11.68,0,127.44,1.06,2.12,9.56,0,0,0,0,0,0,0,31.86,0,3.19,1.06,466.23,0,29.74,2.12,0,0,1.06,0,0,1.06,0,23.36,0,1.06,2.12,3.19,0
 96-106,0,0,3.28,0,12.02,0,100.54,0,1.09,19.67,1.09,0,1.09,2.19,1.09,0,2.19,25.14,0,0,4.37,399.98,0,48.09,4.37,0,1.09,8.74,0,0,0,0,17.49,0,0,3.28,1.09,1.09
108-118,0,0,0.77,1.53,10.72,1.53,111.06,0,0.77,13.02,1.53,0,0,0.77,0,1.53,0,30.64,0,0.77,3.06,448.85,1.53,36,3.83,0,0,1.53,0,0,0.77,0,13.02,0.77,0,0.77,0.77,0
120,0,0,0,0,9.8,0,86.23,1.96,0,21.56,0,0,0,0,1.96,1.96,0,21.56,0,3.92,0,476.23,0,25.48,1.96,0,0,5.88,0,0,0,0,7.84,0,0,1.96,0,0
