stage,blastomeres,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,0,1,0,0,0,0,2,1,1
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0.82,2.46
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 96-106,0,0,1.09,0,3.28,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0
