stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,64,11,0,3,0,1,0,1,2,0,2,0,0,0,0,4,1,9,0,0,10,41,7,1,1,0,0,22,0,3,4,3,8,23,0,0,2,0,0
 24-34,0,0.82,2.46,77.98,4.1,0,8.21,3.28,8.21,0.82,0.82,0,0.82,2.46,1.64,3.28,0,0.82,4.93,0,27.09,1.64,0.82,19.7,122.31,8.21,7.39,2.46,0,0,254.47,0,0,6.57,5.75,5.75,76.34,0,0,7.39,0,2.46
 36-46,0,0.81,0,49.15,0.81,0,11.28,12.09,12.89,3.22,6.45,1.61,0,3.22,0.81,0.81,0.81,0,0.81,2.42,31.42,2.42,0.81,14.5,106.35,3.22,9.67,0.81,0,0,234.45,0,0,1.61,7.25,0,78.15,0,0,4.03,0,0
 48-58,0,1.15,0,55.66,4.02,0,28.69,10.33,20.08,5.16,7.46,2.87,0.57,4.02,1.15,2.3,0.57,1.72,2.3,1.15,60.25,4.59,3.44,12.05,111.32,3.44,13.2,5.16,0,0,203.7,0,0,1.72,9.18,0,47.05,0,0.57,8.61,0,4.02
 60-70,0,0.98,0,57.91,3.93,0,51.04,16.69,26.5,1.96,6.87,8.83,0,0.98,0.98,2.94,1.96,0.98,1.96,0,73.61,6.87,2.94,13.74,130.54,1.96,14.72,3.93,0,0.98,207.1,0,0,2.94,1.96,0,36.32,0.98,3.93,7.85,0,0.98
 72-82,0,2.94,0,91.29,8.83,0,63.81,19.63,20.61,4.91,22.58,64.79,0.98,0.98,1.96,6.87,3.93,3.93,0,0.98,131.54,8.83,5.89,15.71,192.41,2.94,19.63,15.71,0,1.96,235.6,0,0,1.96,3.93,0,36.32,8.83,6.87,21.6,10.8,6.87
 84-94,0,4.25,0,163.55,7.43,2.12,47.79,12.74,40.36,5.31,15.93,129.57,1.06,1.06,7.43,15.93,8.5,1.06,5.31,2.12,74.34,9.56,6.37,18.05,101.96,2.12,18.05,20.18,0,1.06,524.65,0,0,8.5,3.19,0,14.87,22.3,8.5,18.05,10.62,2.12
 96-106,0,3.28,0,138.79,19.67,8.74,64.48,22.95,34.97,2.19,29.51,159.56,1.09,2.19,13.11,20.76,4.37,8.74,2.19,1.09,92.89,14.21,6.56,16.39,103.82,1.09,18.58,27.32,0,6.56,463.37,1.09,0,3.28,8.74,0,14.21,32.79,4.37,30.6,13.11,3.28
108-118,0,2.3,0.77,180,8.43,6.89,36.77,16.09,54.38,3.83,17.62,169.28,0,2.3,16.09,25.28,7.66,8.43,3.06,4.6,74.3,10.72,6.13,25.28,110.3,3.83,11.49,16.09,0,0.77,463.41,0,0,3.83,11.49,0,6.13,52.09,3.06,21.45,10.72,0.77
120,0,0,1.96,135.23,23.52,5.88,29.4,17.64,35.28,1.96,25.48,119.55,0,1.96,11.76,9.8,3.92,3.92,0,0,52.91,13.72,3.92,17.64,111.71,1.96,15.68,13.72,0,0,258.69,0,1.96,5.88,3.92,0,17.64,17.64,3.92,11.76,11.76,3.92
