stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,18.88,0,3.15,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0,4,8,1,1,0,0,0,1,139,148,2,0,1,0,0
 24-34,0,0,0,0,0,0,0,14.78,0,0,0.82,0,0,4.93,0,1.64,0,0,1.64,0.82,2.46,0,12.31,13.13,0,0.82,0,0,2.46,0,44.33,68.95,6.57,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,2.42,28.2,0,0,2.42,0,0,3.22,0,0,0,0,0,0,1.61,0.81,7.25,20.14,0.81,4.03,0,0,1.61,0,14.5,2.42,2.42,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,5.74,21.8,0,1.15,0,0,0,1.72,0,0,0,0,0,0,3.44,0,6.89,27.54,0,1.15,0,0,0.57,0,10.33,0,5.16,0,0,0,1.15
 60-70,0,0,0,0,0,0,8.83,25.52,0,0,2.94,0,0,0,0,0,0,1.96,0,0,3.93,0,5.89,17.67,0,0.98,0,0.98,0.98,0,8.83,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,11.78,15.71,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0.98,12.76,0,3.93,10.8,0,1.96,0,0,1.96,0,8.83,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,1.06,0,2.12,14.87,0,0,0,0,0,0,2.12,0,0,0,0,1.06,2.12,0,4.25,5.31,0,2.12,0,0,1.06,0,10.62,0,0,0,0,2.12,0
 96-106,0,0,0,2.19,2.19,0,7.65,27.32,1.09,2.19,1.09,1.09,0,0,1.09,1.09,1.09,0,0,0,9.84,0,7.65,15.3,2.19,1.09,0,0,1.09,0,7.65,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0.77,0.77,1.53,1.53,32.94,0,0,0.77,0.77,0,0,0,0,0,0,0,0.77,4.6,0,13.79,6.89,1.53,1.53,0,0,0.77,0,6.89,0,0.77,0,0.77,0,0
120,0,0,0,0,1.96,0,0,39.2,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,11.76,13.72,0,0,0,0,1.96,0,3.92,0,0,0,1.96,0,0
