stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,28.32,0,0,3.15,3.15,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,8,1,1,0,1,0,3,1,0,0,0,0,0,0,1,0,4,0,0,2,41,2,0,0,0,0,0,0,4,1,5,23,0,0,2,0,0
 24-34,0,0,0,1.64,10.67,1.64,16.42,0,2.46,0.82,2.46,0,0,1.64,0.82,1.64,0,0,0,0.82,11.49,0,0,3.28,169.92,2.46,2.46,1.64,0,0,3.28,0,0,0.82,0.82,43.51,0,0,5.75,0,0.82
 36-46,0,0,0,0,3.22,0.81,26.59,0,3.22,0.81,4.03,0,0,0,0.81,1.61,0,1.61,0,1.61,16.92,0.81,0.81,4.83,231.23,4.83,1.61,0.81,0,0,4.83,0,0,0,0,55.59,0,0,5.64,0,0.81
 48-58,0,0,0.57,0,4.02,0,44.18,0,1.15,1.15,13.2,0,0.57,0.57,0,0,0,1.72,0.57,1.72,24.1,1.15,1.15,4.02,222.64,3.44,2.87,1.15,0,0.57,1.15,0,0,1.15,0,53.36,0,0,3.44,0,0.57
 60-70,0,0,0,0,2.94,1.96,88.34,0,1.96,2.94,16.69,0,0,2.94,1.96,0,0,1.96,0,1.96,41.22,0.98,0,1.96,253.23,0,4.91,1.96,0,0.98,3.93,0,0,0,0,39.26,0,0,6.87,0,4.91
 72-82,0,0,0.98,0,8.83,2.94,96.2,0,0,1.96,22.58,1.96,0,0,3.93,0,0,2.94,0.98,0,53.99,0.98,0.98,4.91,265.05,0.98,5.89,3.93,0,0,6.87,0,0,0,0,35.34,0,0.98,10.8,3.93,0.98
 84-94,0,0,1.06,0,10.62,7.43,66.91,0,5.31,1.06,20.18,3.19,0,0,3.19,0,1.06,0,1.06,1.06,44.61,0,2.12,4.25,130.63,1.06,2.12,4.25,0,2.12,14.87,0,0,0,0,12.74,0,3.19,7.43,1.06,2.12
 96-106,0,0,0,0,7.65,3.28,52.46,0,1.09,0,14.21,0,0,0,4.37,1.09,1.09,1.09,0,0,34.97,1.09,2.19,0,91.8,0,2.19,5.46,0,0,13.11,1.09,0,0,0,5.46,1.09,2.19,6.56,1.09,0
108-118,0,0,1.53,0,15.32,2.3,36.77,0.77,4.6,2.3,13.79,3.06,0,0,6.89,1.53,0.77,2.3,0.77,0,19.92,0.77,1.53,4.6,108,3.83,3.06,3.83,0,1.53,13.02,0,0,0,0,2.3,0.77,0,11.49,0,1.53
120,0,0,0,0,31.36,3.92,35.28,1.96,1.96,1.96,13.72,1.96,0,0,3.92,1.96,1.96,0,1.96,0,35.28,0,0,9.8,180.3,0,0,3.92,0,0,19.6,0,0,0,0,7.84,3.92,0,3.92,1.96,1.96
