stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,49.95,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,78.67,3.15,0,0,40.91,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,6,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0,5,60,1,1,2,1,0,1,0,12,0,2,23,11,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,10.67,0,0.82,0,2.46,0,0.82,0,0,0,0.82,0,0,2.46,0,2.46,77.16,0,1.64,1.64,0,0,6.57,0,0,0,0,1.64,7.39,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,16.11,0,0,0.81,0,0,0,0,0.81,0,0,0,0.81,6.45,0,2.42,71.7,0.81,1.61,0,0,0,3.22,0.81,0,1.61,0,0,12.89,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,30.41,0,0.57,0,7.46,0,0,0.57,0,0,0,0,0,10.9,0,1.72,49.35,0,0.57,2.3,0,0,0,0,0,0,0,0,10.9,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,67.73,0,0,1.96,5.89,0,0,0,0,0,0.98,0,0,10.8,0,2.94,48.09,0,0,1.96,0,0.98,2.94,0,0,0.98,0,0,9.82,0,0,0,0
 72-82,0,0,0,0,2.94,0,39.27,0,0,0,12.76,0,0,0,0,0,0.98,0,0,9.82,0.98,1.96,60.86,0,0.98,1.96,0,0,3.93,0,0,0.98,0,0,8.83,0,0.98,0,0
 84-94,0,0,0,4.25,3.19,0,30.8,1.06,0,1.06,3.19,2.12,0,1.06,1.06,0,3.19,0,0,12.74,0,0,29.74,0,0,2.12,0,1.06,9.56,0,0,0,0,0,1.06,0,3.19,1.06,1.06
 96-106,0,0,0,3.28,0,0,20.76,0,0,1.09,3.28,0,0,0,1.09,0,0,0,0,7.65,0,6.56,28.41,0,0,4.37,0,0,3.28,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,3.06,2.3,3.83,10.72,0,0.77,0,5.36,1.53,0,0,0.77,0.77,0.77,0,0,6.13,0,3.83,30.64,0,0.77,0,0,0,4.6,0,0,0.77,0.77,0,0,0.77,0.77,0.77,0.77
120,0,0,0,5.88,1.96,0,13.72,0,0,0,3.92,0,0,0,1.96,0,0,0,0,17.64,0,1.96,35.28,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0
