stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,3,2,0,0,0,1,0,0,0,3,0,12,0,0,0,0,1,2,4,11,0
 24-34,0,0.82,1.64,0,0.82,0,0,4.1,0,0,0.82,1.64,0.82,12.31,0,0,0.82,0,0,0,0,9.03,0.82
 36-46,0,0,1.61,0,6.45,0.81,0,4.03,0,0,0,5.64,2.42,24.98,0.81,0.81,0.81,0,0,0,0,8.86,0
 48-58,0,0,0.57,0,5.16,0,0,1.72,0,0,0,3.44,0,3.44,0,1.15,0.57,0,0,0,0,7.46,0.57
 60-70,0,0,0,0,3.93,0,0.98,2.94,0,0,0,3.93,0,4.91,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,1.96,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,2.12,1.06,5.31,0,0,4.25,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,3.06,0,0.77,0,0,3.06,0,0,0,3.06,1.53,3.06,0,1.53,1.53,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
