stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,26.29,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,107.78,0,0,0,52.57,0,0,0,0,0,0,0,0
 10-12,0,3.15,28.32,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,242.32,0,0,0,40.91,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,8,5,13,0,6,0,0,0,0,1,0,0,0,5,0,7,218,1,0,2,1,0,2,0,7,73,3,0,0
 24-34,0,0,0.82,2.46,1.64,77.98,0,10.67,0,0,0.82,0,0,1.64,0,0.82,30.37,0,13.95,391.55,0,0,12.31,0,0,0,0,0,105.07,6.57,0,1.64
 36-46,0,0,0,1.61,0.81,117.63,0,4.03,0,0,0,0,0,0.81,0,0,8.86,0,4.83,191.75,0,1.61,0.81,0,0,0,0,0,85.4,1.61,0,0
 48-58,0,0,0,0,1.15,53.36,0,1.72,0.57,0,0,0,0.57,0,0,0,5.74,0.57,2.3,32.71,0,0.57,0,0,0,0,0,0,13.77,0.57,0,0.57
 60-70,0,0,0,0,0,35.33,0,4.91,0,0,0,0,0,0,0,0,3.93,0,0,19.63,0,0,0,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,0,0,10.8,0,4.91,0,0,0,0,0,0.98,0,0,4.91,0,2.94,22.58,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,22.3,0,1.06,0,0,0,1.06,0,0,0,0,3.19,0,0,9.56,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,2.19,5.46,1.09,1.09,0,0,0,0,0,2.19,0,0,4.37,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,5.36,0,6.13,0.77,0,0,0.77,0,0.77,0.77,0,3.06,0,0.77,12.26,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,11.76,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
