stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,3,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0.57,0,1.72,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0.98,0.98,0.98,1.96,0,0,3.93,0.98,0,0,0.98
 84-94,1.06,0,0,0,1.06,1.06,0,0,2.12,1.06,0,3.19,0,0,2.12,0,0,6.37,0,0,0,0
 96-106,1.09,0,0,0,7.65,5.46,1.09,2.19,0,0,1.09,4.37,1.09,0,6.56,0,1.09,3.28,5.46,0,3.28,0
108-118,2.3,0.77,0,7.66,13.02,3.83,0,0.77,3.83,0,0,13.79,0,4.6,6.89,0,1.53,14.55,7.66,0,0,0
120,1.96,0,1.96,0,3.92,19.6,0,0,3.92,0,0,11.76,5.88,3.92,7.84,0,1.96,15.68,5.88,0,1.96,1.96
