stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,10,0,1,1,1,2,2,3,2,0,0
 24-34,0.82,0,0,2.46,0,0,0,0,0,0,0.82,0,0.82,0,0.82,15.6,0.82,1.64,0.82,0,0,0,0,4.93,0.82,0
 36-46,0,1.61,0,2.42,0,0.81,1.61,0,0,0,0,0,0,0,1.61,8.06,0,0,0,0,1.61,0,0,2.42,0.81,0
 48-58,0,0,0,6.89,0.57,0,2.3,0,0,0,0,0,3.44,0,0.57,14.92,0,0.57,0,0,0,0,0,1.72,0.57,0
 60-70,0,0,0,2.94,0.98,0,2.94,0.98,0,0,0,0,2.94,0,0,1.96,0.98,0.98,0,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,0,0,0,0,0,0,0,6.87,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,2.12,0,0,1.06,0,1.06
 96-106,0,0,0,2.19,0,0,2.19,0,2.19,1.09,1.09,0,1.09,1.09,0,6.56,0,0,0,0,0,0,0,0,1.09,0
108-118,0,1.53,0.77,3.06,0.77,0,1.53,0,1.53,0,0,0.77,0.77,0.77,0,3.83,0,0,0,0,1.53,0,0,0,0.77,0
120,0,7.84,0,1.96,1.96,0,0,3.92,0,0,0,0,3.92,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0
