stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,6.29,0,0,88.12,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,20,7,0,5,0,0,108,0,0,0,2,0,0,9,0,0,3,137,3,8,27,10,0,0,3,8,114,2,16,357,0,0,2,0,0
 24-34,0,0,1.64,1.64,7.39,0,0,6.57,0,0,100.97,0.82,0.82,0,0,0,1.64,15.6,0,0,4.1,105.89,0.82,33.66,7.39,0,0,1.64,0,0,66.49,0,9.85,230.66,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,13.7,0,0.81,65.26,1.61,0,0,0,0.81,0,8.86,0,0,1.61,84.6,0,40.28,5.64,0,0,0,0.81,0,30.62,1.61,0,159.52,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,16.64,0,0,57.95,0,1.72,0,0,2.87,0,24.1,0,0,1.72,49.35,0,32.13,6.89,0,0,0,0,0,8.61,0,0,117.63,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,4.91,0,0,17.67,0,0.98,60.85,0.98,0.98,0,0,8.83,0,41.22,0.98,0.98,0.98,44.17,0,39.26,15.7,0,0,0,0,0,3.93,0,0,62.82,0,1.96,0,0,0
 72-82,0,0,0.98,0,1.96,0,0,21.6,0,0,66.75,2.94,0,0,0,13.74,0,65.77,0,0.98,0.98,42.21,0,72.64,29.45,0,0.98,0.98,0,0,4.91,0,0,35.34,0,1.96,1.96,0,0
 84-94,0,0,2.12,2.12,7.43,0,0,16.99,0,0,60.54,3.19,0,2.12,0,18.05,0,33.99,0,3.19,0,24.43,1.06,70.09,35.05,0,0,0,0,0,11.68,0,0,41.42,0,1.06,1.06,3.19,1.06
 96-106,0,0,0,3.28,4.37,0,0,13.11,1.09,0,41.53,2.19,1.09,1.09,1.09,30.6,0,45.9,0,0,0,24.04,0,92.89,40.44,0,0,2.19,0,0,9.84,0,0,37.16,0,2.19,3.28,0,1.09
108-118,0,0,1.53,3.83,3.06,0.77,0.77,10.72,1.53,0.77,40.6,1.53,0,1.53,0,19.15,0,36.77,0,3.83,0.77,29.11,0,64.34,31.4,0,0.77,0.77,0,0,11.49,0,0,20.68,0.77,0,2.3,3.06,0
120,0,0,0,0,3.92,0,0,7.84,1.96,0,13.72,0,0,3.92,0,15.68,1.96,17.64,0,0,0,21.56,0,25.48,21.56,0,1.96,0,0,0,5.88,0,0,11.76,0,3.92,1.96,0,0
