stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,22.03,3.15,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,226,0,1,0,0,0,0
 24-34,0,0.82,0.82,0,2.46,0.82,0,0.82,2.46,0,0,0,0,0,2.46,0,0,0.82,1.64,0.82,13.95,0,2.46,1.64,0,0,407.14,0,4.93,0,5.75,0,0
 36-46,0,3.22,0,0,0.81,4.83,1.61,0,1.61,0.81,0.81,1.61,0,0,3.22,0.81,0,2.42,2.42,0,25.78,0,5.64,0.81,0,0,362.55,0,2.42,0,1.61,0,0
 48-58,0,2.3,0,0,4.02,8.03,0.57,1.72,0,0,0,0,0.57,0,3.44,0,0,1.15,0.57,0,10.9,0,2.3,0.57,0,0,223.21,0.57,2.3,0,2.87,0,0
 60-70,0,16.69,0.98,0,5.89,4.91,0,1.96,0,0,0,3.93,0.98,0,5.89,0,0,0,0,0,6.87,0,0.98,0.98,0,0,239.49,0,0,0.98,5.89,0,0
 72-82,0,32.39,2.94,0,3.93,8.83,0,2.94,7.85,0,0,2.94,0.98,0,7.85,0,0,2.94,0,0,12.76,0,2.94,0,0,0,234.62,0,0,4.91,2.94,0,0
 84-94,0,54.16,4.25,0,3.19,39.3,0,1.06,21.24,0,0,11.68,5.31,0,9.56,0,0,4.25,4.25,1.06,7.43,1.06,9.56,3.19,0,0,623.42,0,0,2.12,4.25,0,2.12
 96-106,0,98.36,1.09,1.09,3.28,28.41,0,6.56,24.04,0,0,18.58,5.46,5.46,9.84,1.09,0,2.19,6.56,1.09,9.84,0,14.21,2.19,0,1.09,502.71,0,1.09,9.84,6.56,1.09,1.09
108-118,0,86.55,3.83,0,0.77,51.32,0,5.36,35.23,0,0,25.28,13.02,5.36,11.49,0,0.77,4.6,8.43,0.77,14.55,0,4.6,3.83,0,0,415.92,0,0,15.32,2.3,0,5.36
120,0,50.95,9.8,0,3.92,43.12,1.96,5.88,17.64,0,0,15.68,7.84,1.96,7.84,0,0,0,5.88,0,9.8,0,3.92,3.92,0,0,348.84,0,0,7.84,3.92,1.96,0
