stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,2,0,10,1,0,6,0,0,0,0,1,108,1,0,0,0,0,0,0,52,0,0
 24-34,0,0,1.64,0,0,0,38.58,0,0,0.82,0,0,0,0,0,93.58,3.28,0,0,0,1.64,0,0,20.52,0,0
 36-46,0,0,0,0,0.81,0,22.56,0,0,1.61,0,0,0.81,0,0,88.62,2.42,0,0,0,0,0.81,0,17.72,0,1.61
 48-58,0,0,0.57,0,0,0,38.44,0,0.57,5.74,0,0,5.74,0,0,63.12,1.72,0.57,0,0,0.57,0,0,7.46,0,0
 60-70,0,0,0,0,0,0,23.56,0,1.96,5.89,0,0.98,4.91,0.98,0.98,72.63,0.98,0,0,0.98,0,0,0,2.94,0,1.96
 72-82,0,0,0,0,0.98,0,36.32,0.98,4.91,15.71,0,0,10.8,0,0,93.26,0.98,0,0,1.96,0,0,0,1.96,1.96,1.96
 84-94,0,0,0,0,1.06,0,55.23,0,4.25,11.68,0,0,18.05,0,0,67.97,0,1.06,0,2.12,0,1.06,0,1.06,0,2.12
 96-106,0,0,0,0,0,0,30.6,0,5.46,9.84,1.09,1.09,16.39,0,0,39.34,0,0,0,1.09,0,0,0,3.28,0,1.09
108-118,0,0,0,0,0.77,0.77,35.23,0,4.6,4.6,0,1.53,14.55,0.77,0,65.87,1.53,0.77,0,0,0,0,0,0.77,0,3.83
120,0,0,1.96,0,0,0,17.64,0,5.88,1.96,1.96,1.96,3.92,0,1.96,86.23,0,1.96,0,0,0,0,0,5.88,0,1.96
