stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,18,1,0,0,0,3,0,4,3,2,0,0,8,0,0,0,0,0,2,6,0,1,2,0,25,2,5,1,8,4,0,0,0,0
 24-34,0,0,2.46,0,7.39,0,0,2.46,0,13.13,0,1.64,0.82,0.82,0,0.82,10.67,6.57,0.82,1.64,2.46,0,0.82,24.63,0,13.95,3.28,0,59.1,0,12.31,0,0.82,9.03,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0,9.67,0,2.42,0,0.81,3.22,1.61,0,0,3.22,4.03,0.81,0.81,1.61,0,1.61,32.23,0,20.95,3.22,0,62.04,0,5.64,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,5.16,0.57,0,24.67,0,4.02,0,0.57,1.15,5.16,0,1.15,1.72,8.61,0.57,0,1.15,0,1.15,27.54,0,5.74,4.59,0,56.81,0,5.74,0,0,5.16,0,0,0,0
 60-70,0,0,7.85,0,5.89,0.98,0,71.65,0,6.87,0,4.91,8.83,2.94,0,2.94,3.93,10.8,2.94,0,2.94,0,0,22.58,0,13.74,5.89,0,72.63,0,4.91,0,0,0.98,2.94,1.96,0,0
 72-82,0,0,29.45,1.96,5.89,6.87,0,48.1,0,0.98,1.96,4.91,25.52,3.93,0,1.96,6.87,22.58,0.98,2.94,4.91,0,0,22.58,0,8.83,9.82,0,85.4,0,5.89,0,0,0.98,5.89,0.98,0,0
 84-94,0,0,18.05,6.37,16.99,10.62,0,40.36,0,9.56,0,1.06,47.79,4.25,1.06,9.56,15.93,13.81,4.25,5.31,6.37,1.06,0,20.18,0,8.5,9.56,0,250.64,0,9.56,0,0,2.12,6.37,1.06,0,0
 96-106,0,0,29.51,6.56,39.34,10.93,1.09,30.6,0,7.65,1.09,4.37,95.08,1.09,0,7.65,17.49,34.97,10.93,1.09,9.84,0,0,29.51,0,13.11,9.84,0,230.59,0,9.84,0,0,2.19,32.79,1.09,0,1.09
108-118,0,0,16.85,12.26,25.28,3.83,2.3,22.21,0.77,10.72,0.77,4.6,150.89,0,0,7.66,18.38,13.79,12.26,6.89,5.36,0,0,33.7,0.77,7.66,10.72,0,168.51,0,9.96,0,0,2.3,25.28,0,0.77,0.77
120,0,0,9.8,0,35.28,5.88,0,15.68,0,17.64,0,1.96,111.71,0,0,13.72,9.8,17.64,5.88,3.92,5.88,0,0,31.36,0,9.8,5.88,0,109.75,0,11.76,0,0,0,11.76,0,0,0
