stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0
 24-34,0,0.82,0.82,0,3.28,0,0,0.82,0,0,0,0,0,0,0,2.46,2.46,0,0,0,197.01,15.6,0,0,0,0,0,30.37,0,0,0,0,2.46
 36-46,0,0,0.81,0,26.59,0,0.81,12.09,0,0.81,0,0,0.81,0,0,5.64,3.22,0,0,0,563.16,22.56,0,0,0,2.42,0,70.9,0,0,0,0,0.81
 48-58,0,0,1.72,0,150.91,1.15,0.57,36.15,0.57,0,0.57,0,0,0,0.57,13.77,10.33,0,0,1.15,965.14,13.77,0.57,0,0,1.72,0.57,94.1,0,0,0,0,4.02
 60-70,0,0,3.93,1.96,336.66,0,0.98,49.08,0,0.98,0,0,0.98,0,0,10.8,14.72,0,0.98,0.98,1449.71,12.76,0.98,0,0.98,0.98,0,157.04,0,0,0,0,5.89
 72-82,0,0,10.8,2.94,393.65,0.98,0,53.99,0.98,0,0.98,0,0.98,0,0.98,15.71,26.5,0,0,1.96,1155.42,18.65,0.98,0,0,0,0,95.22,0.98,0.98,1.96,0,5.89
 84-94,0,0,11.68,0,215.59,0,2.12,43.54,1.06,0,2.12,1.06,1.06,2.12,1.06,25.49,29.74,1.06,2.12,3.19,556.51,10.62,1.06,0,0,4.25,0,44.61,0,1.06,1.06,0,2.12
 96-106,0,0,7.65,2.19,165.02,3.28,0,38.25,0,0,3.28,0,1.09,1.09,0,16.39,10.93,0,1.09,2.19,422.93,15.3,4.37,0,0,5.46,0,18.58,2.19,1.09,2.19,0,2.19
108-118,0,0,8.43,1.53,115.66,0,0.77,25.28,1.53,0,1.53,0,3.06,1.53,0,25.28,14.55,0,0.77,0,490.22,16.85,0,0,0,0.77,0,16.09,0,0,0,0.77,6.13
120,0,0,11.76,1.96,143.06,0,0,23.52,0,0,3.92,1.96,0,0,0,9.8,9.8,0,1.96,1.96,685.92,21.56,0,0,0,5.88,0,25.48,0,1.96,3.92,0,0
