stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,124,18,5,0,1,0,1,0,1,71,0,0,0,0,0
 24-34,0,4.93,0.82,0,7.39,0,0,0,9.85,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,0,797.05,51.71,33.66,5.75,0,0,0,0.82,0.82,263.49,0,0,0,0,0
 36-46,0,0.81,0.81,0,216.73,0.81,0,0,43.51,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,2629.7,43.51,58.01,2.42,0,0.81,0,0,0,551.88,0,0,2.42,0,2.42
 48-58,0,1.72,7.46,0.57,592.17,0.57,0.57,1.15,74.02,0,0,0.57,0,0.57,0.57,0.57,0,0,15.49,0,0,1.15,2343.99,20.66,25.82,6.31,0,4.02,0,0,0,445.85,0,0,1.15,0,5.16
 60-70,0,2.94,5.89,0.98,1688.22,0,0,0.98,129.56,1.96,0,0,0.98,0,0,8.83,0,0.98,10.8,0,0.98,0,3322.45,16.69,32.39,11.78,0,0,0,0,0,469.17,0.98,0.98,0.98,0,2.94
 72-82,0,7.85,17.67,1.96,1006.2,0,0,0.98,81.48,4.91,0,0,0,0,0.98,9.82,0.98,0.98,26.5,0,0.98,5.89,1608.94,11.78,36.32,28.47,0,1.96,0,0,0,163.94,4.91,0,0.98,0.98,1.96
 84-94,0,3.19,11.68,1.06,641.47,0,0,1.06,74.34,3.19,0,1.06,2.12,0,1.06,8.5,0,1.06,18.05,0,2.12,3.19,860.25,20.18,20.18,35.05,0,3.19,0,1.06,0,82.84,1.06,1.06,2.12,1.06,1.06
 96-106,0,1.09,7.65,1.09,339.88,0,0,0,40.44,5.46,0,1.09,4.37,1.09,0,17.49,1.09,0,15.3,1.09,0,0,556.26,12.02,34.97,49.18,0,6.56,0,0,0,29.51,2.19,0,0,0,2.19
108-118,0,1.53,6.89,0.77,254.3,0,0,0.77,35.23,0.77,0,0,1.53,0.77,0.77,11.49,0,0,6.13,0,0.77,0.77,543.83,9.96,14.55,26.04,0,2.3,0,0,0,11.49,2.3,0,0.77,0.77,1.53
120,0,3.92,21.56,1.96,290.05,0,1.96,0,33.32,0,0,0,1.96,1.96,0,17.64,0,0,9.8,1.96,0,1.96,597.73,23.52,27.44,33.32,0,3.92,0,1.96,0,41.16,1.96,0,0,0,0
