stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,4,0,0,0,0,1,0,0,1,70,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,5.75,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,494.16,0,40.22,0,0,0,0.82,0.82,0,0,0.82,172.38,0,0,0.82,0,0
 36-46,0,0,2.42,0.81,0,0,20.95,0,0,0,2.42,0,0,0,0,0.81,0,0,0,4.83,0,0,0,1193.2,0,46.73,0,0,0,1.61,0,0,0,0,273.93,0,0,0,0,0.81
 48-58,0,0,0,3.44,0,0,146.32,1.15,0,0,6.89,0,0,0.57,0.57,0,0,0.57,0.57,7.46,0,1.15,4.02,1597.47,0,32.13,1.72,0,0,1.72,0,0,0,0,296.66,0,0,0.57,0,2.3
 60-70,0,0,0.98,4.91,0,0,469.17,0,0.98,0,21.59,0,0,0,0.98,0,0.98,0.98,0,18.65,0,0,1.96,2579.44,0,34.35,1.96,0,0,4.91,0,0,0,0,329.79,0,0,0.98,0,0.98
 72-82,0,0,0.98,13.74,3.93,0.98,663.6,0.98,0,1.96,40.25,4.91,0,0,1.96,0,1.96,1.96,0,31.41,0.98,0,0.98,2430.59,0,52.03,3.93,0,0.98,4.91,0,0,0,0,225.78,2.94,0,5.89,1.96,5.89
 84-94,0,0,2.12,14.87,4.25,0,424.81,0,3.19,1.06,44.61,1.06,1.06,0,1.06,0,4.25,0,0,32.92,0,2.12,5.31,1272.32,1.06,49.92,3.19,0,0,5.31,0,0,1.06,0,133.82,1.06,2.12,2.12,4.25,0
 96-106,0,0,2.19,18.58,3.28,2.19,417.47,3.28,1.09,2.19,56.83,4.37,0,0,4.37,3.28,0,3.28,0,28.41,0,3.28,2.19,1114.7,0,84.15,5.46,0,1.09,8.74,0,1.09,1.09,0,60.11,1.09,1.09,2.19,1.09,0
108-118,0.77,0,0.77,16.85,0.77,2.3,305.62,0,0.77,1.53,43.66,0.77,0,0,3.83,0,1.53,0,1.53,19.92,0,1.53,3.06,1286.82,0.77,51.32,6.13,0,3.06,1.53,0,0,0,0,45.19,3.06,0,1.53,2.3,0.77
120,0,0,1.96,21.56,1.96,0,264.57,1.96,3.92,1.96,74.47,1.96,0,0,5.88,1.96,0,1.96,0,25.48,0,1.96,5.88,1452.2,0,39.2,1.96,0,0,7.84,0,0,0,0,70.55,0,0,1.96,0,1.96
