stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,0,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,5,58,2,0,1,0,5,27,0,5,25,31,0,0,2,0,1
 24-34,0,0,0,0.82,13.13,0,3.28,0,0.82,0.82,0.82,0,0.82,0,0,0,0,0.82,0,10.67,0,0,0.82,74.7,0,0,2.46,0,41.86,0,0,2.46,3.28,16.42,0,0,4.1,0,0
 36-46,0,0,0,0,5.64,0,12.89,0,1.61,0,0,0,0.81,0.81,0.81,0,0,0,0.81,1.61,0,0,0.81,43.51,0,0.81,0,0,20.95,0,0,0,0,8.86,0,0,1.61,0,0
 48-58,0,0,0,0,5.74,0,13.2,2.3,1.15,0,2.87,0,0,0.57,0,0,0,0,1.15,5.74,0,0,0.57,26.97,0,0,0,0,16.64,0,0,0,0,4.59,0,0,0.57,0,0.57
 60-70,0.98,0,0,0,2.94,0,20.61,0,3.93,0,4.91,0,0,2.94,0,1.96,0,0.98,0.98,9.82,0,0,2.94,40.24,0,1.96,0,0,29.45,0,0,0.98,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,0,6.87,0.98,14.72,0,0,0.98,4.91,0,0,2.94,0.98,0,0,0,0,18.65,0,0,0,44.17,0.98,1.96,0.98,0,40.25,0,0.98,0,0,2.94,0.98,0,6.87,1.96,1.96
 84-94,0,0,0,0,11.68,1.06,12.74,0,7.43,0,3.19,1.06,0,4.25,0,1.06,0,0,0,11.68,1.06,0,3.19,23.36,0,2.12,1.06,0,80.71,0,1.06,0,0,4.25,0,1.06,3.19,0,2.12
 96-106,0,0,1.09,0,15.3,0,10.93,1.09,4.37,2.19,3.28,2.19,0,4.37,2.19,0,0,1.09,0,9.84,0,2.19,1.09,19.67,1.09,0,1.09,0,74.31,0,0,1.09,0,0,0,0,3.28,2.19,0
108-118,0,0,0.77,0,19.15,0.77,7.66,4.6,4.6,0,7.66,2.3,0,6.89,0.77,0,0.77,0,0.77,12.26,0,0,1.53,27.57,0.77,1.53,0.77,0,72.77,0,0,1.53,0,0.77,0,0,2.3,0,0.77
120,0,0,0,0,39.2,0,9.8,5.88,11.76,0,5.88,1.96,1.96,13.72,1.96,0,0,0,0,11.76,1.96,0,5.88,35.28,0,0,0,0,113.67,0,0,0,0,3.92,0,0,5.88,0,0
