stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2345.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2868.67,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,30.65,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,60.46,99.89,0,0,0,189.27,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,1540.43,26.29,0,0,612.49,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,53.5,0,12.59,0,176.23,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,1271.38,12.59,0,0,487.78,0,0,3.15,3.15,62.94,3.15,3.15,0,0,0,0,0
 14-21,1,0,12,122,30,0,60,0,0,19,3,0,0,0,5,0,2,0,0,56,0,0,56,1167,13,2,13,34,0,14,0,84,5,78,318,0,0,4,0,0
 24-34,0,0,3.28,60.74,5.75,0,269.24,4.1,0.82,22.16,0,0,0,1.64,1.64,1.64,4.93,4.1,0,169.1,0,2.46,64.03,1425.83,3.28,12.31,16.42,0,0.82,32.83,0,0,1.64,4.93,331.63,0,0,16.42,0,0.82
 36-46,0,0,0.81,28.2,5.64,0,519.66,0.81,0,28.2,0.81,0,2.42,1.61,0,0.81,1.61,2.42,0.81,110.38,0,4.03,40.28,887.04,4.03,5.64,4.03,0,0,16.92,0,0.81,3.22,0,211.09,0,0,9.67,0,2.42
 48-58,0,0,0,18.94,2.87,0,474.54,1.72,1.72,23.53,1.72,0,2.3,0.57,0,1.15,0,1.72,0,116.48,1.15,6.89,22.95,361.5,1.15,1.15,4.02,0,0,3.44,0.57,0,0.57,0,54.51,0,0,9.18,0,2.87
 60-70,0,0,0,25.52,0,0,328.81,1.96,0.98,41.22,2.94,0,2.94,3.93,0,3.93,1.96,0,0,89.32,0,6.87,15.7,244.4,3.93,2.94,5.89,0,0,1.96,0,0,1.96,0,17.67,0,0,8.83,0,0.98
 72-82,0,0,0,27.49,2.94,0,116.82,0,0.98,39.27,3.93,0,0,4.91,0.98,0.98,0.98,0,0,110.93,1.96,8.83,17.67,179.64,0.98,1.96,1.96,0,0.98,3.93,0,0,0.98,0,6.87,0,0.98,14.72,0,0
 84-94,1.06,0,0,39.3,6.37,2.12,113.64,5.31,5.31,24.43,11.68,0,1.06,5.31,0,2.12,1.06,2.12,0,101.96,0,12.74,21.24,138.06,3.19,4.25,7.43,0,0,3.19,0,0,1.06,0,3.19,1.06,0,12.74,1.06,1.06
 96-106,0,0,0,32.79,6.56,0,78.68,0,3.28,30.6,10.93,0,0,9.84,4.37,2.19,1.09,2.19,0,59.01,1.09,0,14.21,112.56,0,2.19,3.28,0,1.09,6.56,0,0,2.19,0,4.37,1.09,0,22.95,1.09,1.09
108-118,0,0,0,28.34,7.66,0,84.26,1.53,0,26.81,4.6,0,0,11.49,0,4.6,0.77,2.3,0,42.13,0.77,3.06,8.43,146.3,0.77,6.89,1.53,0,0,12.26,0,0,1.53,0,0.77,3.83,0,8.43,0,0
120,0,0,0,29.4,11.76,0,72.51,3.92,1.96,29.4,1.96,0,1.96,13.72,1.96,0,0,1.96,0,47.03,0,0,9.8,107.79,0,1.96,3.92,0,1.96,3.92,0,0,0,0,3.92,0,0,9.8,1.96,0
