stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,5,33,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,8.21,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,3.28,0,0,1.64,30.37,0.82,0,0.82,0,0,0.82,0,0,0,10.67,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,16.11,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0.57,0,39.02,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,10.9,0,0,1.72,8.61,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,389.66,0,0.98,0,3.93,0,0,0,0.98,0,2.94,0,0,0,1.96,0,0,0.98,9.82,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,10.8,0.98,0.98,1111.24,0,0.98,1.96,12.76,0.98,0,0,0,0,1.96,0.98,1.96,0,40.25,0,3.93,2.94,76.57,0.98,0.98,0.98,0,1.96,8.83,0,0.98,0,8.83,0.98,0.98,7.85,1.96,0.98
 84-94,0,0,0,0,22.3,7.43,0,1260.64,2.12,0,0,9.56,1.06,0,1.06,1.06,1.06,11.68,0,2.12,3.19,14.87,1.06,3.19,6.37,30.8,1.06,0,2.12,0,0,9.56,0,0,0,1.06,3.19,1.06,5.31,1.06,0
 96-106,1.09,0,1.09,0,24.04,7.65,1.09,1077.55,1.09,2.19,0,5.46,3.28,0,0,1.09,2.19,4.37,1.09,1.09,0,15.3,1.09,0,0,45.9,0,2.19,3.28,0,1.09,12.02,1.09,1.09,0,1.09,3.28,0,5.46,2.19,1.09
108-118,0.77,0,0,0,7.66,1.53,0.77,755.24,0.77,1.53,2.3,6.89,2.3,0,0.77,0.77,1.53,8.43,1.53,4.6,0.77,22.21,0,1.53,6.13,97.28,0.77,0.77,0.77,0,1.53,6.89,0,0.77,0,2.3,0,2.3,3.06,1.53,0.77
120,0,0,0,0,7.84,3.92,0,872.1,0,0,1.96,7.84,1.96,0,0,0,1.96,1.96,0,1.96,0,17.64,1.96,0,1.96,54.87,0,1.96,1.96,0,0,3.92,0,0,0,0,0,0,1.96,1.96,1.96
