stage,blastomeres,endoderm,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,neural,olfactory,periderm,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,1,0,0,0,3,3,0,0,4,0
 24-34,0,0,0,0,0,0,2.46,8.21,0.82,0.82,0,0
 36-46,0,0,1.61,0,0,0.81,0,5.64,0,1.61,0.81,0
 48-58,0,0,2.3,0,0.57,0.57,0,3.44,0,2.87,0.57,0
 60-70,0,0,2.94,0,0,1.96,0.98,4.91,0.98,2.94,0,0.98
 72-82,0,0,3.93,0.98,0,0,0,3.93,0.98,0,0,0
 84-94,0,0,3.19,0,0,0,0,1.06,2.12,8.5,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,3.28,0,0
108-118,0,0,3.06,0,0,0.77,0.77,0.77,1.53,0,0,0
120,0,0,0,0,0,0,0,3.92,0,3.92,0,0
