stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0.82,0,2.46,0,0,0,0,1.64,0,0,0,247.08,0.82,0.82,0,0,0,0,0,0,36.12,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,16.11,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0,0,1.61,796.81,0,0.81,0,0,0,0,0,0,55.59,0,0,0,0,0
 48-58,0,0,0,4.02,0,0,118.2,0,0,1.15,16.07,0,0.57,0.57,0,1.72,0,1.15,0.57,11.48,0.57,0,2.3,1409.84,0,2.3,0,0,0,3.44,0,1.15,55.66,0,0,0.57,0,0
 60-70,0,0,0,6.87,0.98,0,463.28,0.98,3.93,1.96,41.22,0.98,0.98,0,0,0.98,0,1.96,0,35.33,0,0,2.94,2996.59,0.98,0.98,0,0,0,6.87,0,0.98,75.58,0,0,0.98,0.98,2.94
 72-82,0,1.96,0,33.38,5.89,0,818.71,0,3.93,4.91,92.28,4.91,0,0.98,0,0,0,0.98,0,61.84,3.93,0,1.96,3908,0.98,5.89,1.96,0,0.98,8.83,0.98,0.98,71.66,1.96,2.94,8.83,0.98,3.93
 84-94,0,1.06,0,63.72,6.37,0,632.97,3.19,3.19,1.06,72.22,3.19,0,1.06,0,5.31,1.06,0,1.06,55.23,1.06,6.37,10.62,2212.22,0,1.06,1.06,0,0,9.56,1.06,0,53.1,1.06,4.25,6.37,1.06,2.12
 96-106,0,0,0,49.18,10.93,0,599.97,4.37,6.56,2.19,84.15,6.56,1.09,4.37,2.19,2.19,1.09,4.37,0,33.88,1.09,1.09,6.56,2029.42,1.09,1.09,7.65,0,0,14.21,0,0,30.6,1.09,4.37,3.28,3.28,6.56
108-118,0,0.77,0,31.4,3.06,0,448.09,1.53,3.06,0.77,55.92,2.3,1.53,4.6,0.77,0.77,0.77,1.53,0,35.23,0.77,0.77,0.77,2370.66,0.77,2.3,1.53,0,0,4.6,0.77,0.77,28.34,1.53,0,4.6,0,1.53
120,0,0,0,47.03,5.88,1.96,440.95,1.96,3.92,0,80.35,0,0,11.76,1.96,0,0,3.92,0,35.28,0,0,1.96,3039.63,0,1.96,1.96,0,1.96,15.68,3.92,0,50.95,0,1.96,5.88,1.96,0
