stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,3,0,5,0,1,3,1,0,0,0,0,5,0,2,54,2,0,32,0,0,20,5,11,14,0,0,0,0
 24-34,0,0,3.28,0,0,6.57,1.64,3.28,0.82,0,0,0,0,0,4.93,0,0,79.62,2.46,0.82,0,0,0.82,0,0.82,14.78,13.13,0,0,0,0
 36-46,0,0,3.22,0,0,78.96,0,17.72,0,0,0,0,0.81,0,17.72,0,0.81,221.56,0.81,0.81,0,0,0,0,0,0,14.5,0,0,0,0
 48-58,0,0,4.02,0,0,195.09,0.57,34.43,0,0,0,0,0.57,0,19.51,0.57,2.87,169.27,0,0.57,0,0,0.57,0,0,0,16.07,0,0,0,0
 60-70,0,0,0,0,0,203.18,0.98,34.35,0,0,0.98,0,0.98,0,24.54,0,1.96,99.13,0,0,0,0,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0,0,108.96,0,16.69,0.98,0,0,0.98,0.98,0,31.41,0.98,2.94,65.77,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,2.12,0,0,95.58,0,15.93,0,0,0,3.19,1.06,0,24.43,1.06,1.06,50.98,0,2.12,0,0,0,0,0,0,4.25,1.06,0,0,2.12
 96-106,0,0,2.19,0,1.09,50.27,2.19,12.02,0,0,0,7.65,1.09,0,18.58,1.09,1.09,25.14,0,1.09,0,0,1.09,0,0,0,0,3.28,1.09,0,3.28
108-118,0,0,0.77,0,0,36,0.77,5.36,0,0,0,9.19,0.77,0.77,15.32,0,0,44.43,0,2.3,0,0,0,0,0,0,0,0,1.53,0,3.83
120,0,0,1.96,0,0,45.08,1.96,7.84,0,0,0,7.84,1.96,0,13.72,0,0,23.52,1.96,1.96,0,1.96,0,0,0,0,0,1.96,1.96,0,0
