stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,434.87,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,864.28,232.93,0,6.13,0,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,615.12,7.89,0,207.67,0,5.26,31.54,0,0,0,0,0,693.98,0,0,0,0,0,0,0,0,0,0,304.93,344.36,0,0,247.1,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,9.44,15.73,0,147.91,0,37.76,119.58,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,881.15,516.1,0,0,509.81,0,0,3.15,6.29,18.88,0,15.73,0,0,0,0,0
 14-21,0,0,0,6,168,26,18,0,0,0,17,9,1,12,0,1,0,0,0,169,0,0,247,542,200,1,0,71,0,1,0,76,5,54,335,378,0,0,0,0
 24-34,0.82,0,0,10.67,144.47,4.1,27.91,0.82,1.64,13.95,51.71,2.46,1.64,6.57,0,0,0,0.82,0.82,279.91,0,0.82,166.63,490.05,73.06,0.82,3.28,0,0.82,2.46,0,0.82,0,4.93,54.18,143.65,0,3.28,0,0
 36-46,0,0,0,1.61,37.06,0.81,28.2,0.81,0.81,32.23,49.95,0.81,0,6.45,0,0,0.81,0.81,0,232.84,0.81,5.64,95.87,479.37,26.59,0.81,1.61,0,0,1.61,0,0,0,5.64,0,120.04,0,1.61,0,0
 48-58,0,0,0,1.15,18.94,0.57,30.41,1.15,0.57,21.8,41.31,0,0,1.72,1.15,0,0,1.72,0,254.2,0,4.02,46.48,467.65,6.89,1.15,4.59,0,1.72,0,0,0.57,0,2.87,0,87.22,1.15,0.57,0.57,0
 60-70,0,0,0,0.98,11.78,0.98,18.65,1.96,1.96,19.63,27.48,0.98,0,0.98,0.98,0.98,0,1.96,0,340.59,0,9.82,44.17,384.76,2.94,0,2.94,0,0,0,0,0,0,1.96,0,23.56,3.93,0,8.83,0
 72-82,0,0,0.98,0,4.91,1.96,64.79,1.96,0.98,26.5,37.3,2.94,0,0,0,0.98,0.98,6.87,0,544.82,0,5.89,53.99,390.7,4.91,2.94,5.89,0.98,1.96,0,0,0,0,6.87,0,17.67,13.74,1.96,29.45,0
 84-94,0,0,2.12,0,5.31,0,64.78,2.12,0,20.18,23.36,5.31,0,0,0,0,4.25,0,1.06,414.19,0,10.62,32.92,201.79,1.06,1.06,7.43,0,1.06,2.12,0,0,0,4.25,0,11.68,7.43,1.06,29.74,0
 96-106,0,0,3.28,0,12.02,1.09,44.81,3.28,1.09,19.67,37.16,3.28,0,2.19,2.19,0,1.09,2.19,1.09,419.65,0,2.19,39.34,142.07,0,1.09,8.74,0,2.19,1.09,0,0,0,0,0,3.28,8.74,1.09,51.36,2.19
108-118,0,0,2.3,0,7.66,0,25.28,3.83,3.06,15.32,36.77,5.36,0,0.77,1.53,0.77,0,2.3,1.53,336.26,0.77,0.77,25.28,173.87,3.06,0.77,6.13,0,3.06,0,0,0,0,0.77,0,3.06,3.06,0,25.28,0.77
120,0,0,0,0,1.96,0,17.64,3.92,1.96,13.72,17.64,3.92,0,1.96,0,0,1.96,3.92,0,292.01,0,5.88,17.64,162.66,0,1.96,5.88,0,1.96,0,0,0,0,0,0,3.92,7.84,0,19.6,1.96
