stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,5.75,0,0,0,0,0,0.82,0,0.82,0,0,0,0,1.64,0,0,1.64,25.45,0,0,0,0,0,0,0,0.82,9.03,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,256.2,0.81,1.61,0.81,1.61,0,0,0,0,0,0,0,0,5.64,0,0,0,78.96,0,0,0,0,0,0,0,0,21.75,0,0,0.81,0,0
 48-58,0,0.57,0.57,4.59,0.57,0,1165.4,0.57,2.3,0.57,17.21,0,0.57,0,0,0,0,0,0.57,13.77,0.57,0.57,4.02,184.19,1.15,0,0,0,0,1.72,0,0,35.58,0,1.15,2.3,0,0
 60-70,0,0,0,4.91,1.96,0,2436.14,0.98,6.87,1.96,61.84,0,0,1.96,0,0.98,0.98,0.98,0,21.59,0,0.98,1.96,221.82,0,0.98,3.93,0,0.98,1.96,0,0,32.39,0,0,0.98,0,1.96
 72-82,0,0.98,0,20.61,0.98,0,2637.73,0,7.85,5.89,134.49,2.94,0,0.98,2.94,1.96,0.98,1.96,0,49.08,0,0.98,6.87,267.01,0,0.98,2.94,0,0.98,2.94,0,0.98,20.61,0,0.98,4.91,2.94,1.96
 84-94,0,1.06,0,33.99,2.12,0,1641.91,0,10.62,3.19,124.26,2.12,1.06,0,0,5.31,2.12,0,1.06,50.98,0,2.12,1.06,174.17,0,0,3.19,0,0,9.56,1.06,0,19.12,0,6.37,7.43,0,2.12
 96-106,0,0,0,37.16,2.19,2.19,1347.48,1.09,15.3,1.09,115.84,1.09,1.09,5.46,1.09,3.28,0,3.28,0,36.06,1.09,1.09,3.28,156.28,0,1.09,2.19,0,1.09,8.74,2.19,0,13.11,0,3.28,5.46,2.19,1.09
108-118,0,0,0,22.21,4.6,1.53,1122.14,0.77,23.74,3.06,85.79,0.77,0,1.53,0.77,1.53,0,0.77,0,27.57,0.77,0.77,1.53,135.58,0.77,0.77,0.77,0,0.77,6.89,2.3,0,3.06,0.77,0,0.77,4.6,1.53
120,0,0,0,15.68,1.96,1.96,981.85,0,21.56,0,76.43,0,0,1.96,0,0,0,0,0,17.64,1.96,0,9.8,170.5,1.96,3.92,0,0,1.96,3.92,1.96,0,7.84,0,0,5.88,0,0
