stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,34.62,9.44,0,0,9.44,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,2,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2,0,0,5,0,4,0,1,7,19,0,0,0,0,0
 24-34,0,1.64,0,2.46,0.82,0,6.57,0,0,0,0.82,0,1.64,0.82,0,0.82,0,0.82,0,0.82,4.1,0,0,0,146.93,0.82,4.1,0.82,0,0,8.21,0,0,1.64,0,1.64,60.74,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,17.72,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,4.83,0,0,0,331.94,0.81,13.7,1.61,0,0,9.67,0,0,4.03,0,0,83.79,0,0,2.42,0,0
 48-58,0,0,0,1.72,0.57,0,32.71,0.57,0.57,0.57,8.61,0,0,0,0,0,0.57,0.57,0,0.57,5.16,0,0.57,1.72,371.83,0.57,5.74,0.57,0,0,7.46,0,0,0,0.57,0,70.58,0,0,3.44,0,0
 60-70,0,0.98,0,1.96,0.98,0,88.34,0,0.98,1.96,17.67,0,0.98,0,0,0,0,1.96,0,0,6.87,0,0,0.98,490.76,0,2.94,1.96,0,0,9.82,0,0,0,0,0,60.85,0,0,2.94,0.98,0.98
 72-82,0,3.93,0,10.8,6.87,0,160.01,0,1.96,0,38.28,1.96,0,1.96,0,1.96,0.98,0.98,0,0,40.25,0.98,0,2.94,589,0,11.78,5.89,0,0,15.71,0,0,0,0,0,39.27,2.94,1.96,4.91,1.96,0
 84-94,0,2.12,0,15.93,9.56,0,105.14,1.06,3.19,0,19.12,6.37,0,0,2.12,2.12,0,2.12,1.06,0,28.68,1.06,0,4.25,318.61,2.12,9.56,11.68,0,0,36.11,0,0,1.06,0,0,30.8,3.19,0,5.31,5.31,1.06
 96-106,0,2.19,0,8.74,7.65,1.09,55.74,0,4.37,0,25.14,5.46,0,0,5.46,2.19,1.09,4.37,2.19,1.09,25.14,6.56,2.19,3.28,261.19,1.09,15.3,6.56,0,1.09,50.27,0,0,0,1.09,0,9.84,1.09,0,6.56,4.37,2.19
108-118,0,2.3,0,14.55,2.3,7.66,58.98,0,1.53,0.77,15.32,7.66,0,0,3.06,1.53,2.3,3.06,0.77,0.77,22.21,3.06,2.3,3.06,278.04,2.3,11.49,4.6,0,0,22.98,0,0,0.77,1.53,0,6.13,3.83,0,6.13,1.53,0
120,0,1.96,0,25.48,3.92,0,54.87,3.92,1.96,1.96,15.68,15.68,0,0,3.92,3.92,0,3.92,1.96,1.96,13.72,0,0,1.96,293.97,0,7.84,1.96,0,0,31.36,0,0,5.88,1.96,0,15.68,1.96,0,1.96,3.92,0
