stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,0,0,0,0,0
  7-9,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,55.2,2.63,0,13.14,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,37.76,0,0,12.59,0,0,0,3.15,0
 14-21,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,2.46,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0.57,0,1.72,0,0,0.57,0,0,0,0,0,0,2.3,0,0.57,0,1.72,0.57,0,1.15,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0.98,0,0,0,1.96,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,1.06,1.06,1.06,0,1.06,0,1.06,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,7.65,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,1.53,0,0,0,2.3,0.77,0.77,0.77,0,0,0,1.53,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,9.8,1.96,0,0,0
