stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,37,1,1,0,0,0,0
 24-34,0,0,1.64,0.82,0,1.64,0.82,0,0.82,0.82,0,0,8.21,0.82,1.64,4.93,0,0,2.46,39.4,0,0,0,0,0,79.62,1.64,4.93,0,0,0,10.67
 36-46,0,0,0,0,0,13.7,0,0,0,0,0,0,2.42,0,0,4.03,0,0,1.61,58.81,0,0,0,0,0,53.98,0,8.86,0,0.81,0,3.22
 48-58,0,0,0,0.57,0,20.66,0,0,4.59,0,0.57,1.15,3.44,0,0,4.02,0,0,0.57,74.59,0,0.57,0.57,0,0,37.87,0,7.46,0,0,0,5.16
 60-70,0,0.98,0,1.96,0,55.95,0,0,13.74,0.98,0,0,3.93,0.98,0,9.82,0,0,0,128.58,0,0.98,0,0,0,51.04,0,7.85,0,0.98,0,2.94
 72-82,0,0.98,0,3.93,0.98,69.7,0,0,20.61,5.89,0,1.96,9.82,0,0.98,15.71,0,0,1.96,121.73,0.98,0.98,0,0.98,0.98,75.59,0,8.83,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,40.36,0,0,5.31,3.19,0,1.06,14.87,0,2.12,3.19,0,0,0,44.61,0,1.06,0,0,1.06,155.06,0,8.5,0,3.19,0,2.12
 96-106,0,0,0,3.28,3.28,31.69,1.09,0,6.56,7.65,1.09,2.19,17.49,0,1.09,5.46,1.09,1.09,1.09,61.2,0,2.19,0,0,1.09,161.74,0,3.28,0,0,0,1.09
108-118,0,0.77,0,2.3,1.53,19.92,0,0,6.13,5.36,0,0,13.02,0.77,0.77,5.36,0,0.77,0,43.66,0,0.77,0,0,0.77,150.13,0,0,0,0.77,0,1.53
120,0,0,0,1.96,5.88,9.8,0,1.96,5.88,7.84,0,1.96,9.8,1.96,0,3.92,0,0,0,45.08,0,0,0,0,0,99.95,0,0,1.96,3.92,0,0
