stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,4,0,1,29,0,0,0,0
 24-34,0,1.64,0.82,1.64,0,0,0,59.92,0,0,0,0.82,0,0,0,0,1.64,0,1.64,25.45,0,0.82,1.64,0,0.82,0,0,0.82,101.79,0,0.82,0,0.82
 36-46,0,0,0,8.06,0,0,0.81,92.65,0,0.81,0,0,0,0,0,0,2.42,0,0,37.87,0,0.81,0.81,0,4.03,0,0.81,0,82.98,0,0.81,0,0
 48-58,0,0.57,0,12.62,0.57,0,0,98.12,0,0,0,0,0,0,0,0,4.02,0,0,35,0.57,1.72,0.57,0,0.57,0,0,0,97.55,0,1.15,0,0.57
 60-70,0,0.98,0.98,9.82,0,0.98,0.98,95.21,0.98,0,0,0,0,0,0,0,7.85,0.98,0,25.52,0,0.98,0,0,1.96,0,0,0,73.61,0,0.98,0,0
 72-82,0,0,0,17.67,0,0.98,0,153.14,0.98,0.98,0,0,0.98,0,0,0.98,6.87,0,1.96,41.23,0,1.96,0,0,1.96,0,0,0,65.77,0.98,0.98,1.96,1.96
 84-94,1.06,3.19,0,3.19,0,0,0,152.93,2.12,0,1.06,0,1.06,1.06,0,0,5.31,0,1.06,11.68,0,1.06,1.06,1.06,0,0,0,0,65.85,0,0,0,0
 96-106,0,8.74,0,7.65,0,1.09,1.09,99.45,1.09,0,0,0,0,1.09,0,0,5.46,0,1.09,22.95,0,0,0,0,3.28,0,1.09,0,97.26,0,1.09,0,0
108-118,0,5.36,0,3.06,0,0,0.77,87.32,1.53,0,0,0,0,1.53,0,0,6.13,0,0,12.26,0,0,0.77,0,3.06,0,0,0,52.85,0,0.77,0,0
120,0,1.96,0,3.92,0,3.92,1.96,56.83,0,0,3.92,0,0,0,1.96,0,1.96,0,0,9.8,0,1.96,0,0,0,0,0,0,54.87,0,1.96,0,0
