stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
 24-34,0.82,0,45.15,0,0,1.64,11.49,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,4.93,27.09,0,0.82,1.64,0,19.7,0,0,0,0.82,0.82,6.57,0,0,2.46,0,0.82
 36-46,0,0,240.09,0.81,0,5.64,18.53,11.28,0,3.22,0,0,0,0.81,0,0,0,0,4.03,6.45,0.81,3.22,45.12,0,0,0,0,20.14,0,0,0,0,0,11.28,0,0,0.81,0,0.81
 48-58,0,0,480.85,2.3,0,110.17,12.62,26.4,4.59,28.12,0,0.57,0,1.72,1.15,0.57,0.57,2.87,52.79,5.16,2.3,9.75,224.36,1.15,1.15,1.72,0,22.38,0,0,0,0.57,0,59.68,0,0,2.87,0,5.74
 60-70,0.98,0,716.51,7.85,0,297.4,10.8,49.08,10.8,57.91,2.94,0.98,7.85,1.96,0.98,4.91,2.94,6.87,140.36,16.69,3.93,16.69,490.76,0,1.96,0.98,0.98,73.61,0,0,0,0,0,70.67,0.98,3.93,6.87,0.98,10.8
 72-82,5.89,0.98,810.85,39.27,1.96,514.39,4.91,60.86,18.65,151.18,14.72,6.87,12.76,15.71,7.85,19.63,9.82,1.96,327.88,18.65,11.78,33.38,951.23,4.91,13.74,12.76,0.98,87.37,0.98,0,1.96,0.98,0,97.18,3.93,6.87,40.25,14.72,15.71
 84-94,4.25,0,1560.13,71.16,3.19,310.11,4.25,144.44,21.24,69.03,9.56,2.12,14.87,14.87,10.62,15.93,9.56,3.19,189.04,30.8,9.56,20.18,505.53,6.37,13.81,12.74,2.12,257.01,0,0,9.56,2.12,0,31.86,6.37,6.37,19.12,15.93,11.68
 96-106,7.65,0,1986.8,109.28,19.67,464.46,29.51,167.21,9.84,201.08,29.51,14.21,50.27,30.6,10.93,26.23,43.71,3.28,366.1,54.64,18.58,45.9,905.97,7.65,39.34,37.16,9.84,454.62,0,0,7.65,6.56,0,34.97,18.58,15.3,77.59,22.95,28.41
108-118,3.83,0,2085.72,52.85,26.81,335.49,11.49,226.73,23.74,133.28,24.51,1.53,18.38,24.51,9.96,13.79,22.98,6.89,304.85,36,13.02,45.96,790.47,9.96,20.68,17.62,2.3,269.62,0.77,0,6.13,6.13,0,19.15,11.49,9.19,40.6,14.55,12.26
120,1.96,0,1675.62,43.12,19.6,233.21,9.8,156.78,17.64,103.87,21.56,3.92,31.36,13.72,17.64,9.8,19.6,1.96,194.02,17.64,11.76,48.99,633.01,13.72,15.68,27.44,3.92,180.3,0,0,1.96,5.88,0,9.8,17.64,13.72,37.24,19.6,9.8
