stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,1,1,0,3,3,0,0
 24-34,0,0,0,0,4.1,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0,14.78,0.82,0.82,0,0,8.21,0,2.46,0,0,8.21,0.82,0
 36-46,0,0,0,0,1.61,0.81,0,0.81,0,0,0.81,0,0,0,1.61,0,0,3.22,12.89,0,0,0,0,4.83,0,0,0,0,0.81,1.61,0
 48-58,0,0,0.57,0.57,3.44,0,0,2.3,0,0,0,0,0.57,0.57,1.72,0,0.57,0.57,8.03,0,0,0.57,0,2.87,0,0,0.57,0,2.3,0.57,0.57
 60-70,0,0,1.96,0,3.93,0,0,1.96,0,0,0,0,0,0,3.93,0,0,0,13.74,0,0,0,0,4.91,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0.98,0,5.89,0.98,0,0,7.85,0,0,0.98,0,8.83,0,0.98,0,0,2.94,0.98,0.98
 84-94,0,0,1.06,0,8.5,0,0,2.12,0,0,0,1.06,1.06,0,1.06,0,0,0,6.37,1.06,0,1.06,0,10.62,0,0,0,0,2.12,2.12,0
 96-106,0,0,1.09,0,12.02,0,0,3.28,1.09,0,0,0,1.09,0,2.19,0,0,0,7.65,0,0,2.19,0,7.65,0,0,0,0,0,0,1.09
108-118,0,0,1.53,0,5.36,0,0.77,2.3,1.53,0,0,0.77,0,0,2.3,0,0,0,4.6,0,0,1.53,0,8.43,0,0,0,0,0,1.53,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,15.68,0,1.96,5.88,0,5.88,0,0,0,0,3.92,1.96,0
