stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,2,519,8,1,0,0,0,15,3,0,0,0,0,0,0,0,53,3,0,34,133,0,0,0,2,3,0,57,102,0,0,0
 24-34,0,293.05,0,2.46,0,1.64,0,20.52,0,0,0.82,0,0,0,0,0,27.09,3.28,1.64,13.13,83.73,0,0,0,2.46,0,0,2.46,62.39,0,0,1.64
 36-46,0,62.84,0,0.81,0.81,5.64,0,9.67,0,0,0,0.81,0,0,0,0,16.11,0,0.81,6.45,21.75,0,0,0,1.61,0,2.42,0.81,14.5,0,0,0
 48-58,0,32.71,0,5.74,0.57,5.74,0,13.77,0,0.57,0,0,0,0,0,0,19.51,0.57,3.44,2.3,10.9,1.15,0,0,0,0,0,0,5.16,0,0,0
 60-70,0,50.06,0,4.91,0,4.91,0,1.96,0.98,0,0,0,0,0,0,0,17.67,1.96,1.96,2.94,20.61,0.98,0,0,4.91,0,1.96,0,1.96,0,0,0
 72-82,0,33.38,0,5.89,0,11.78,2.94,8.83,0,0,0,0,0,0,0,0,24.54,1.96,0.98,6.87,22.58,0,0,0,6.87,0,0,0,0,0,0.98,0
 84-94,0,78.59,0,3.19,0,12.74,0,4.25,0,0,0,0,0,1.06,0,0,13.81,1.06,2.12,4.25,15.93,0,0,0,8.5,0,2.12,0,1.06,2.12,0,0
 96-106,0,76.5,1.09,6.56,0,13.11,0,3.28,1.09,0,1.09,0,0,0,2.19,1.09,22.95,2.19,0,4.37,16.39,0,0,0,7.65,0,0,0,1.09,0,0,0
108-118,0,78.89,0,6.13,0,10.72,0.77,10.72,0.77,0,0,0,0,0.77,0,0.77,16.09,1.53,0,6.89,16.09,0,0,0,5.36,0,0.77,0,0,0,0,0
120,0,43.12,0,3.92,0,7.84,0,13.72,1.96,0,0,0,1.96,0,0,0,15.68,1.96,0,1.96,17.64,0,1.96,0,3.92,0,0,0,0,1.96,0,0
