stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,9,2,0,0,0,0,8,0,0,0,1,0,2,0,4,12,0,6,2,1,0,3,10,1,14,40,1,0,0
 24-34,0,0,0,5.75,0,3.28,0,0,0,14.78,0,0,0,0.82,0,5.75,0,8.21,82.91,0.82,24.63,2.46,0,0,0,4.93,0,1.64,44.33,3.28,0,0
 36-46,0,0.81,0,4.03,0,5.64,0,0,0,10.47,0,0,0,0,0,11.28,0,0.81,122.46,0,24.17,0.81,0,1.61,0,3.22,0.81,0,36.26,0.81,0,0
 48-58,0,0,0,1.72,0,13.77,0,0,0,11.48,0,0,0,0,1.15,7.46,0,0.57,118.78,0,20.08,1.72,0,0.57,0,2.3,0,0,45.9,0.57,0,0
 60-70,0,0.98,0,0.98,0,18.65,0,0.98,0,10.8,0,0,0,0,1.96,6.87,0,2.94,100.12,0,13.74,1.96,0,0,0,0.98,0,0,25.52,0.98,0,0
 72-82,0,3.93,0,1.96,0,21.6,0.98,0,0,14.72,0.98,0,0,0,2.94,22.58,0,2.94,97.18,0,41.23,6.87,0,0,0,0.98,0,0,21.6,0,0,0
 84-94,0,1.06,0,5.31,0,18.05,0,1.06,0,14.87,1.06,0,0,0,0,3.19,0,1.06,36.11,0,32.92,8.5,0,2.12,0,1.06,0,0,16.99,0,0,0
 96-106,0,1.09,1.09,8.74,0,16.39,0,1.09,1.09,5.46,3.28,0,1.09,0,7.65,13.11,1.09,1.09,33.88,1.09,55.74,13.11,0,0,0,2.19,0,0,8.74,3.28,0,0
108-118,0,2.3,0.77,6.13,0,9.19,0.77,1.53,0.77,5.36,0.77,0.77,0.77,0,1.53,6.89,1.53,0,29.87,0.77,36.77,7.66,0,0,0,1.53,0,0,4.6,0.77,0.77,0.77
120,0,0,0,11.76,0,9.8,0,0,0,13.72,0,0,0,0,0,3.92,0,0,33.32,0,35.28,7.84,0,0,0,1.96,0,0,3.92,1.96,0,0
