stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,6.29,0,0,0,103.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.63,3.15,0,0,56.65,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,10,0,0,24,0,0,38,0,1,0,0,0,0,0,0,6,0,0,3,552,2,2,9,7,0,0,1,13,51,1,6,296,0,0,0,0
 24-34,0,0,6.57,0,0,50.07,0,0.82,52.53,0,6.57,0,0,0,0,0,1.64,24.63,0,0,8.21,896.37,0.82,2.46,36.94,0,0,0.82,0,0,73.06,0,5.75,348.86,0,0.82,0,0
 36-46,0,0,2.42,0,0,75.73,0.81,0,91.85,0,9.67,0,0.81,0.81,0,0,0,12.89,0,0.81,1.61,561.55,0,3.22,28.2,0,0,2.42,0,0,49.95,0.81,0,287.62,0,0.81,0,0
 48-58,0,0,1.15,0.57,0,125.09,0,1.15,162.39,0,8.03,0.57,0,0,0,0.57,0,10.9,0,2.87,1.72,231.24,0.57,1.15,30.41,0,0.57,0,0,0,35.58,0,0,180.17,0,0,0,0
 60-70,0,0,0.98,0,0,309.18,0.98,0,218.88,0,2.94,0,0,0,0,0,0,16.69,0,0.98,0.98,145.27,0,1.96,33.37,0,0,0,0,0,42.21,0,0,66.74,0,0,0,0.98
 72-82,0,0.98,4.91,0,0,440.77,0,0.98,225.78,0.98,0.98,0,0,0.98,0.98,0,0.98,24.54,0.98,8.83,4.91,126.63,0,0,43.19,0,1.96,0,0,0,61.84,0,0,22.58,0.98,2.94,0.98,0
 84-94,0,1.06,0,1.06,0,477.92,0,0,146.56,2.12,7.43,0,1.06,0,1.06,1.06,0,29.74,0,3.19,1.06,87.09,1.06,0,57.35,0,0,3.19,0,0,142.31,0,0,27.61,0,0,0,2.12
 96-106,0,1.09,5.46,2.19,1.09,354.08,1.09,3.28,118.03,1.09,5.46,3.28,2.19,0,0,2.19,0,24.04,1.09,8.74,3.28,66.66,0,0,65.57,0,1.09,3.28,0,0,138.79,0,0,15.3,0,1.09,1.09,0
108-118,0,1.53,2.3,0.77,0.77,260.43,0.77,0,98.04,1.53,3.06,0,0.77,0,0,0.77,0,16.09,0,9.96,0.77,83.49,1.53,0.77,62.81,0,0,0.77,0,0,137.87,0,0,12.26,0.77,0,0.77,0.77
120,0,1.96,5.88,1.96,0,184.22,1.96,0,105.83,0,1.96,1.96,0,0,0,3.92,0,17.64,0,3.92,0,64.67,0,0,48.99,0,1.96,0,0,0,88.19,0,0,3.92,0,0,3.92,0
