stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,2.63,0,0,0,10.51,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,128.81,2.63,0,0,39.43,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,40.91,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,22,1,0,4,0,0,0,3,0,4,0,0,0,0,0,0,1,9,0,0,16,98,7,1,2,2,0,10,15,0,0,7,29,0,0,2,0,0
 24-34,0,0,0,0,6.57,2.46,0,23.8,0,1.64,0,4.93,0,0,1.64,0.82,1.64,0,0,0.82,0.82,19.7,0,0,7.39,155.14,3.28,5.75,4.93,0,0,25.45,0,0.82,0,2.46,48.43,0,0,4.93,0,1.64
 36-46,0,0,0,0,4.03,2.42,0,41.09,0.81,0.81,0.81,6.45,0,0,1.61,0.81,0.81,0.81,0,0,2.42,18.53,0,0,7.25,180.47,2.42,3.22,0.81,0,0,24.17,0,0.81,0.81,0,39.48,0,0,3.22,0,1.61
 48-58,0,0,0,0,6.31,0,0,63.12,0.57,1.72,0.57,10.9,0,0,0,1.15,1.15,0.57,1.72,0,0.57,29.26,0,1.15,3.44,175.58,1.15,2.3,2.3,0,0.57,16.07,0,1.15,0,0,45.9,0,0,3.44,0,1.72
 60-70,0,0,0,0,10.8,0,0,111.89,0,2.94,1.96,16.69,0.98,0.98,0.98,0,0,0,2.94,0,0.98,45.15,0.98,0,9.82,187.47,1.96,2.94,1.96,0,0,20.61,0,1.96,0,0,35.33,0,0.98,3.93,0,0.98
 72-82,0,0,0,0,9.82,1.96,0.98,115.84,0,0,2.94,23.56,0.98,0.98,1.96,0.98,1.96,0,0.98,0,0,54.97,0.98,1.96,8.83,180.63,0,4.91,3.93,0,0.98,10.8,0,0.98,0,0,12.76,2.94,0,2.94,4.91,0.98
 84-94,0,0,0,0,13.81,1.06,0,72.22,0,0,3.19,19.12,6.37,1.06,0,5.31,2.12,0,4.25,0,3.19,28.68,1.06,1.06,5.31,81.78,3.19,3.19,3.19,0,1.06,44.61,0,0,0,0,9.56,0,1.06,6.37,1.06,4.25
 96-106,0,0,1.09,0,9.84,5.46,0,52.46,0,0,1.09,17.49,4.37,0,0,1.09,4.37,1.09,3.28,1.09,2.19,34.97,1.09,2.19,3.28,76.5,0,5.46,10.93,0,0,34.97,0,0,1.09,0,0,1.09,1.09,5.46,0,0
108-118,0,0,0.77,0,14.55,3.83,5.36,43.66,0.77,0.77,1.53,11.49,4.6,0,0,4.6,1.53,0.77,1.53,2.3,1.53,26.04,0.77,1.53,9.96,62.81,1.53,1.53,3.83,0,0.77,23.74,0,2.3,0,0,6.89,3.06,0,3.06,0.77,0
120,0,0,0,1.96,21.56,7.84,3.92,39.2,3.92,1.96,3.92,9.8,3.92,0,0,7.84,0,0,1.96,5.88,0,31.36,0,1.96,3.92,97.99,1.96,3.92,5.88,0,0,29.4,0,3.92,0,0,1.96,1.96,0,3.92,0,0
