stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,31,2,0,4,0,0,2,0,0,0,0,4,0,0,0,0,5,1,0,3,89,0,1,0,1,0,3,11,1,0,11,54,0,0,0,0,0
 24-34,0,0,0,0,10.67,0.82,0,13.13,0,0,5.75,0,0,0,0,21.34,0,0,0.82,0,5.75,37.76,0,2.46,78.8,0,0,0.82,0,0,6.57,0,1.64,0,1.64,19.7,0,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,14.5,1.61,0,3.22,0,0,0,0,4.83,0,0,0,0.81,0.81,28.2,0,0,81.37,0,1.61,0,0,0.81,1.61,0,0,0,0,14.5,0,0,0.81,0,0
 48-58,0,0,0.57,0,2.87,0,0,22.38,2.3,0,7.46,0.57,0,0,0,8.03,0,0.57,0,0,8.61,29.26,1.15,1.72,62.54,0.57,0,0.57,0,0,0.57,0,0.57,0,0,10.33,0,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,30.43,1.96,0.98,7.85,1.96,0,0.98,0,3.93,0,0,0,0,8.83,22.58,0,0,59.87,0,0.98,0.98,0,0,0.98,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,13.74,1.96,0,24.54,0,0.98,9.82,43.19,0,0,0.98,7.85,0,0.98,0,0,8.83,53.01,1.96,1.96,65.77,0,0.98,1.96,0,0,1.96,0,1.96,0,0,2.94,1.96,1.96,0,0,0
 84-94,0,0,1.06,0,26.55,2.12,0,15.93,1.06,0,5.31,81.78,1.06,0,0,5.31,2.12,1.06,0,0,7.43,44.61,0,4.25,32.92,1.06,0,1.06,0,0,7.43,0,0,0,0,3.19,4.25,0,0,1.06,0
 96-106,0,0,0,0,6.56,1.09,0,12.02,1.09,0,3.28,116.93,0,0,1.09,4.37,0,0,1.09,1.09,14.21,57.92,0,1.09,29.51,0,2.19,0,0,0,4.37,0,0,1.09,0,2.19,1.09,1.09,2.19,0,0
108-118,0,0,0,0,15.32,0,0.77,3.83,1.53,0,3.06,135.58,0,0,0.77,4.6,0.77,0,0.77,0,6.89,47.49,0,3.06,36,0,0,0.77,0,0,1.53,0,0.77,0,0,0.77,5.36,0,0,0,0.77
120,0,0,0,0,23.52,1.96,0,17.64,0,1.96,5.88,56.83,0,0,0,0,0,1.96,0,0,7.84,35.28,1.96,3.92,52.91,1.96,3.92,1.96,0,0,13.72,0,0,0,0,0,0,0,1.96,0,0
