stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,172,1,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,0,34,1,0,1,0,0,1,0,0
 24-34,0,0,0,0.82,132.16,0,0,0.82,0,9.03,0,0,1.64,0,0,0,18.06,0,2.46,0,1.64,3.28,0,2.46,18.88,0,19.7,0,0,84.55,4.1,0.82,4.1,0,0,0.82,0,0
 36-46,0,0,0.81,0,49.95,0,0,0.81,0,13.7,0,1.61,3.22,0.81,0,0,6.45,0,4.03,0,0,4.03,0,0,18.53,0,26.59,0,0,71.7,4.03,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,39.59,0,0,2.87,0,21.8,0,0.57,2.3,14.92,0,0,4.02,0,2.3,0,1.72,4.59,0.57,0.57,18.94,0,21.23,0,0,25.25,2.3,0,1.15,0,0,0.57,0,0
 60-70,0,0,2.94,0.98,65.76,0,0.98,3.93,0,21.59,0,1.96,32.39,7.85,0,0,1.96,0,3.93,1.96,0.98,3.93,0,0,14.72,0,12.76,0,0,47.11,0.98,0,0.98,0.98,0,0,0,0
 72-82,0,0,29.45,0.98,80.5,1.96,1.96,8.83,0,8.83,0,4.91,167.86,3.93,0,0,11.78,0,12.76,6.87,5.89,5.89,0.98,0,49.08,0,40.25,5.89,0,33.38,2.94,0,0,2.94,0,0.98,0,0
 84-94,0,0,35.05,8.5,170.99,0,8.5,8.5,1.06,30.8,0,3.19,358.97,5.31,0,0,18.05,1.06,11.68,13.81,2.12,16.99,0,0,26.55,0,21.24,3.19,0,54.16,7.43,0,0,8.5,0,1.06,0,1.06
 96-106,0,0,41.53,15.3,162.83,1.09,1.09,17.49,0,25.14,1.09,6.56,472.11,0,0,1.09,14.21,2.19,29.51,14.21,7.65,7.65,1.09,1.09,74.31,1.09,41.53,1.09,1.09,50.27,3.28,0,0,8.74,1.09,0,0,0
108-118,0,0,23.74,16.09,144.77,3.06,12.26,11.49,0,41.36,1.53,3.06,476.43,0,0.77,0,13.02,0,15.32,16.09,7.66,3.06,1.53,0.77,49.79,0.77,27.57,3.83,0,34.47,7.66,0,0,11.49,0,0,0.77,0
120,0,0,21.56,5.88,109.75,0,3.92,11.76,0,21.56,0,0,297.89,0,0,1.96,11.76,1.96,9.8,11.76,3.92,3.92,0,0,45.08,0,15.68,1.96,0,41.16,7.84,0,0,9.8,0,0,0,0
