stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,7,0,0,0,4,0,0,0,2,0,0,0,0,1,1,10,1,21,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,10.67,0.82,0.82,0,0,0,0,1.64,0,5.75,0.82,0
 36-46,0,0,2.42,0,0.81,0,0,0,5.64,0,0.81,0,3.22,0,0,0.81,6.45,0,4.03,0,0,0.81,0,0,0,12.09,0,0
 48-58,0,0,0,0,2.87,0,0,0,4.59,0,0,0.57,5.16,0,0,0,9.75,0,1.72,0.57,0,1.15,0,0.57,0,6.89,0.57,0
 60-70,0,0,0,0,1.96,0,0.98,0,0.98,0.98,0.98,0,3.93,0,0,0,8.83,0,2.94,0,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,12.76,0,1.96,0,0,0.98,0,0,0,2.94,0,0
 84-94,0,1.06,0,0,5.31,0,0,0,3.19,1.06,0,0,2.12,0,1.06,1.06,5.31,0,2.12,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,1.09,0,0,0,0,6.56,0,2.19,0,5.46,1.09,1.09,0,4.37,0,7.65,0,0,3.28,0,0,0,3.28,1.09,0
108-118,0,0,2.3,0,0.77,0.77,0,0,5.36,0,1.53,0,3.06,0,0.77,0,6.13,0,3.06,0,0,1.53,0,0,0,2.3,0,0.77
120,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,5.88,1.96,0,0,0,0,0,0,0,0
