stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,12,3,0,4,0,0,2,0,0,0,1,0,0,0,0,1,0,0,3,38,2,1,0,2,0,1,11,4,9,21,0,0,0,0,0
 24-34,0,0,5.75,0,0,7.39,0.82,0,4.1,1.64,0,0,0.82,0,0,0,0,18.06,0,0.82,5.75,121.49,0.82,0.82,0.82,0,0,2.46,0,4.93,1.64,35.3,0,0,0,0,0
 36-46,0,0,2.42,0,0,16.11,0,0,4.83,0,0.81,0,0,0,0.81,0,0,10.47,0,0,1.61,70.09,0.81,0.81,1.61,0,0,2.42,0,0.81,0,20.14,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,13.77,0.57,0.57,6.89,0,0.57,0,0,0.57,0.57,0,0.57,17.21,0,0.57,4.02,43.61,0,0.57,0.57,0,0,0,0,2.3,0,10.9,0,0,1.72,0,0.57
 60-70,0,0,1.96,0,0,18.65,0,0.98,6.87,0,0.98,0,0,0,0,0,0.98,12.76,0,0,0.98,23.56,0,0.98,0,0,0.98,0,0,0.98,0,11.78,0,0,0.98,0,0
 72-82,0,0,1.96,0.98,0,15.71,0,0.98,16.69,0.98,0.98,1.96,0,0,0.98,0,0,24.54,0.98,0,0,33.38,0,0.98,1.96,0,0,0.98,0,0.98,0,1.96,0.98,0.98,0,0,0
 84-94,1.06,0,4.25,0,0,10.62,0,0,8.5,1.06,0,2.12,0,0,2.12,0,0,11.68,1.06,1.06,2.12,14.87,0,1.06,1.06,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0
 96-106,0,0,5.46,0,0,2.19,0,0,1.09,1.09,1.09,2.19,0,1.09,1.09,0,0,13.11,0,0,1.09,8.74,0,1.09,2.19,0,0,0,0,0,0,1.09,0,0,1.09,1.09,1.09
108-118,0,0,4.6,0,1.53,11.49,0.77,0.77,6.13,1.53,0,0.77,0,0,0.77,0.77,0.77,10.72,0.77,0.77,0.77,16.09,0.77,0.77,0.77,0,1.53,6.13,0,0,0,3.06,1.53,0,2.3,0.77,0
120,0,0,0,0,0,9.8,0,0,3.92,1.96,1.96,0,0,0,0,0,0,1.96,0,1.96,0,11.76,0,3.92,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0
