stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,7.89,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,22.03,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,144.76,6.29,0,0,31.47,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,4,0,4,0,0,0,1,0,4,0,0,2,0,0,0,0,1,0,0,0,70,0,2,2,0,3,1,1,2,31,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,13.95,0,0,0,0.82,0,0,0,0,1.64,0,0.82,0,0,0,1.64,0,0.82,166.63,0,4.93,0.82,0,9.85,0,0,0,49.25,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,0,28.2,0,0,0,2.42,0,0,0,0,3.22,0,0,0,0,0.81,0.81,0,1.61,192.55,0.81,8.86,1.61,0,8.06,0,0,0,42.7,0,0,0,0,0
 48-58,0,0,0,0.57,1.72,0,0,77.46,0,0,0,16.64,0,0,0,0,0,0.57,0,0,0,4.02,1.72,0,0.57,209.44,0,8.61,1.72,0,4.59,0,0,0,33.85,0,0,0,0,1.15
 60-70,0,0,0,0,0,0.98,0,112.88,0,0,0.98,14.72,2.94,0,0,0.98,0,0,0,0,0.98,4.91,0.98,0,0,241.45,0,7.85,3.93,0,8.83,0,0,0,25.52,0,0,0.98,0,0
 72-82,0,0,0.98,0,6.87,6.87,0,175.72,0,0.98,0,23.56,6.87,0,0,1.96,3.93,0,0.98,0,0.98,15.71,5.89,0,0,256.21,0,7.85,6.87,0,5.89,0,0,0,22.58,0,0.98,2.94,0,1.96
 84-94,0,0,1.06,0,1.06,5.31,0,92.4,0,0,0,14.87,6.37,0,1.06,1.06,2.12,1.06,0,1.06,0,6.37,5.31,1.06,0,122.13,0,2.12,8.5,0,25.49,0,1.06,0,11.68,2.12,0,3.19,0,0
 96-106,0,0,3.28,0,5.46,6.56,1.09,66.66,0,0,0,13.11,10.93,0,0,15.3,4.37,0,0,0,0,14.21,3.28,0,0,102.73,0,4.37,6.56,0,14.21,0,0,0,6.56,0,0,1.09,0,0
108-118,0,0,1.53,0,5.36,3.06,0,49.02,2.3,0.77,0,17.62,13.79,0,0,6.13,5.36,0.77,1.53,0.77,0,9.19,1.53,1.53,0,109.53,0,5.36,9.96,0,9.96,0,0,0,3.83,4.6,0,1.53,0.77,0.77
120,0,0,1.96,0,0,5.88,1.96,47.03,0,0,1.96,17.64,3.92,0,0,9.8,1.96,0,0,1.96,0,7.84,1.96,0,0,125.43,0,7.84,5.88,0,9.8,0,0,0,9.8,3.92,0,1.96,0,0
