stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,66.09,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,29,0,2,20,2,0,0,0,0,0
 24-34,0,2.46,0,9.03,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,1.64,0,0,2.46,14.78,0,0.82,0,0,0,1.64,0,0,0,0,14.78,4.1,0,0,0,0,0
 36-46,0,2.42,0,8.06,0,0,0,0.81,0.81,1.61,0,0,0,0.81,0,0,0.81,8.06,0,0,1.61,46.73,0.81,1.61,0,0,0,4.03,0,0,0,0.81,0,8.86,0,0,0,0,0
 48-58,0,2.3,0,2.87,0,6.31,0,0,1.72,8.03,0,0,0,0.57,0.57,0.57,0.57,26.4,0,0,2.3,80.33,0.57,0,0,0,0,2.87,0,0,0,0,0,34.43,0,0,0,0,0.57
 60-70,0,2.94,0,2.94,0,22.58,0,0.98,0,3.93,0,0,0,1.96,0,1.96,0,47.11,0,0,2.94,76.56,0.98,0,0,0,0,0.98,0,0,0,0,0,55.95,0,0.98,0.98,0,0
 72-82,0,2.94,0,11.78,1.96,33.38,0.98,0,0.98,5.89,0.98,0.98,0,1.96,1.96,19.63,0,99.15,0,0.98,7.85,135.47,0,1.96,0,0,0.98,1.96,0.98,0,0,0,0,28.47,0,0,0,0.98,1.96
 84-94,0,2.12,0,9.56,0,14.87,0,0,1.06,6.37,1.06,0,0,0,1.06,69.03,0,69.03,0,0,2.12,57.35,1.06,2.12,1.06,0,0,1.06,0,0,0,0,0,9.56,1.06,0,0,0,0
 96-106,0,3.28,0,17.49,0,18.58,0,1.09,2.19,7.65,1.09,0,0,0,1.09,172.67,0,62.29,1.09,1.09,1.09,66.66,1.09,2.19,2.19,0,0,3.28,2.19,0,2.19,0,0,6.56,2.19,2.19,2.19,3.28,0
108-118,0,0,0,4.6,0.77,18.38,0,0,1.53,3.83,0,0.77,0,1.53,0.77,331.66,0.77,43.66,1.53,3.06,2.3,81.19,0.77,0,0,0,0.77,2.3,0,0,2.3,0.77,0,4.6,0,0.77,1.53,0,0
120,0,0,0,11.76,0,11.76,0,0,1.96,3.92,0,0,0,0,1.96,111.71,0,31.36,0,3.92,3.92,62.71,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,1.96,0,0,1.96,0
