stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,7.89,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,7,0,0,0,33,1,0,0,1,0,1,0
 24-34,0,0,0.82,4.93,0,1.64,0,0,0,0,0,0,0,1.64,0,0.82,3.28,0,1.64,18.88,0,0,0,146.93,0,0,0,2.46,0,0.82,0.82
 36-46,0,0,0,2.42,0,1.61,0,0.81,0,0,0,0,0,1.61,0,0.81,0,0,0,8.86,0,0.81,0,145.83,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,4.02,0,2.87,0.57,3.44,0.57,0.57,0,0.57,0,1.15,0.57,1.15,0.57,0,0.57,16.07,0,0,0,147.47,0,0,0.57,4.02,0,0.57,0
 60-70,0,0,0,16.69,0,4.91,0,1.96,0,1.96,0,0,0,3.93,0.98,1.96,1.96,0,0,8.83,0,0,0,198.27,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,22.58,0,6.87,0,1.96,0,3.93,1.96,1.96,0.98,4.91,0,4.91,2.94,0,0,11.78,0.98,0,0,196.33,0,0,0,0.98,0,1.96,0
 84-94,0,0,0,26.55,1.06,2.12,0,6.37,0,1.06,0,0,0,5.31,0,3.19,4.25,1.06,0,4.25,0,0,0,312.24,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,46.99,1.09,5.46,0,8.74,0,3.28,1.09,0,1.09,9.84,1.09,3.28,5.46,0,0,12.02,0,0,0,445.88,0,1.09,0,0,0,2.19,0
108-118,0,0,0,41.36,0,1.53,0,6.89,0,0.77,3.06,0.77,0,5.36,0,3.06,4.6,0,0,9.19,0,0,0,221.36,0,0.77,0,0.77,3.06,0.77,0
120,0,0,0,54.87,0,7.84,0,9.8,0,0,1.96,0,1.96,9.8,0,0,3.92,1.96,0,5.88,1.96,1.96,0,325.32,0,0,0,0,0,0,0
