stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,1,0,0,0,0,1
 24-34,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 36-46,1.61,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,0,0.57,0,0,0,1.15,0,0,0,0,0.57,0.57,0,0,0,0,0,0
 60-70,10.8,0,0,0.98,4.91,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,30.43,0.98,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0,0,6.87,0,0,0,0,0.98,0,0,0,2.94,0,0,0
 84-94,78.59,0,0,2.12,4.25,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,4.25,0,0,0
 96-106,209.83,0,0,4.37,12.02,0,1.09,10.93,0,0,1.09,3.28,3.28,1.09,1.09,8.74,0,3.28,1.09,0,19.67,0,0,0,31.69,0,1.09,0
108-118,276.51,0,0,0.77,32.17,0,0.77,24.51,0.77,0.77,0,1.53,1.53,0,0,5.36,0.77,0,0,0,16.85,0,0,0.77,37.53,0.77,0,0
120,250.85,0,1.96,3.92,31.36,0,0,5.88,0,0,0,1.96,5.88,0,0,3.92,0,0,0,0,19.6,0,0,0,13.72,0,0,0
