stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,2,22,0,0,0,0
 24-34,0.82,0,7.39,0,0,0,0,0,0,0,0,0.82,0,0,98.5,1.64,0,0,0,0,59.92,0,0,0,0
 36-46,0,0,51.56,0,0,0,0,0,0,0,0,0,0,0,205.45,1.61,0,0,0,0,104.74,0,0,0,0
 48-58,0.57,0.57,202.55,0,0,4.59,0,0,0,0,0,0.57,0,0,285.75,1.72,0,0,1.15,0,90.66,0,0,0,0
 60-70,0.98,0.98,464.26,0,0,5.89,0,0,0,0,0,1.96,0,0,467.2,0.98,0.98,0,0,0,96.19,0,0,0,0
 72-82,0.98,2.94,488.87,0.98,0,13.74,0,0,0,0,0,7.85,0.98,0,431.93,1.96,0.98,0,0,0,30.43,0.98,1.96,0,1.96
 84-94,1.06,2.12,270.82,1.06,0,11.68,0,0,1.06,0,0,7.43,1.06,0,252.76,0,2.12,0,1.06,0,28.68,1.06,0,2.12,0
 96-106,2.19,2.19,241.52,0,0,14.21,0,0,0,1.09,2.19,7.65,0,0,190.16,2.19,2.19,0,0,0,10.93,1.09,0,0,0
108-118,2.3,5.36,226.73,0,0.77,14.55,0.77,0,0,0,1.53,7.66,0.77,0.77,239.75,0,1.53,0,0,0,9.96,0,0,1.53,0
120,0,1.96,146.98,0,0,7.84,0,1.96,0,0,0,7.84,0,0,190.1,0,1.96,0,0,0,5.88,0,1.96,0,0
