stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,9,5,0,0,0,1,0,1,5,1,1,47,2,0,0,1,0,0
 24-34,0,0,0,0.82,18.06,0,0,0.82,0,0,0.82,0.82,0,1.64,0,1.64,0,1.64,0,0,16.42,0,0,22.16,6.57,0,0.82,0.82,0,0,0,0,0.82,0,1.64,3.28,0,0,0,0,0.82
 36-46,0,0,0,0,19.34,0,0,3.22,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,16.92,0,0,8.86,20.14,0,4.03,0,0,0,0,0,0,2.42,1.61,2.42,0,0,0,0,0
 48-58,0,0,0,0,21.23,0,0,5.16,0.57,5.74,6.31,2.3,0,0,0,0.57,0.57,0.57,0,0,32.71,0,0,12.62,16.64,0,0.57,0,0,0,0,0,1.15,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,26.5,0,0,6.87,0,6.87,2.94,1.96,0,0,0,0,0.98,1.96,0,0,76.56,0,0,10.8,18.65,0,2.94,0,0,1.96,0,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,29.45,0,0,6.87,0,5.89,7.85,4.91,0.98,4.91,0,0.98,1.96,1.96,0,0,119.76,0.98,3.93,18.65,28.47,0,8.83,0.98,0,1.96,0,0,0.98,0,0,1.96,1.96,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,75.4,1.06,0,8.5,6.37,20.18,8.5,2.12,0,1.06,2.12,0,0,0,0,0,62.66,0,8.5,14.87,8.5,0,2.12,0,0,0,0,0,0,0,0,1.06,0,2.12,0,1.06,1.06
 96-106,0,0,0,0,69.94,0,1.09,6.56,0,9.84,1.09,6.56,3.28,1.09,0,0,0,1.09,0,0,49.18,0,4.37,8.74,15.3,1.09,5.46,2.19,0,4.37,2.19,0,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0.77,96.51,0,0,0,2.3,20.68,3.06,6.13,0.77,0.77,0,0,1.53,0,0,0.77,61.28,0,0.77,14.55,15.32,0,3.83,0.77,0,3.06,0,0,0.77,0,0,0.77,0,1.53,0.77,0.77,0
120,0,0,1.96,0,123.47,1.96,0,9.8,5.88,19.6,0,3.92,1.96,1.96,0,3.92,0,1.96,1.96,0,43.12,1.96,1.96,23.52,9.8,1.96,1.96,0,0,3.92,0,0,3.92,0,0,0,0,1.96,0,0,5.88
