stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,4,353,0,0,1,2,0,0,3,2,0,4,0,0,0,2,0,0,0,10,1,1,0,0,60,1,2,4,2,0,0,0,0,0
 24-34,0,2.46,283.2,0,0,2.46,23.8,0,0.82,0.82,0,2.46,15.6,1.64,1.64,0.82,2.46,9.85,0,1.64,29.55,0,11.49,1.64,0,155.14,0,0,5.75,4.1,0,0,1.64,0,0
 36-46,0,0,117.63,0,0,8.06,30.62,0,0.81,0.81,0.81,1.61,7.25,1.61,0,1.61,1.61,3.22,0,1.61,24.17,0,4.03,0,0,140.19,0,0,2.42,4.03,0,0,0.81,0,0.81
 48-58,0,0.57,91.23,0,0,5.74,36.15,0,1.15,0.57,0.57,4.59,1.15,2.87,0.57,0,2.3,0.57,0,0,35.58,0.57,6.89,2.87,0.57,80.33,0,0,0.57,3.44,0,0,0.57,0,0
 60-70,0,0,109.93,0,0,4.91,40.24,0.98,0,2.94,0,2.94,3.93,1.96,0,0,1.96,2.94,0.98,0,38.28,0,3.93,3.93,0,86.37,0,0,1.96,5.89,0.98,0,0,0,0
 72-82,5.89,0.98,130.56,0,0,6.87,37.3,1.96,0.98,11.78,0.98,12.76,10.8,4.91,2.94,0,11.78,10.8,0,0.98,63.81,0.98,10.8,4.91,0,69.7,0,0,1.96,2.94,3.93,0,0,0,0
 84-94,1.06,0,271.88,0,2.12,6.37,52.04,0,1.06,18.05,2.12,21.24,15.93,9.56,5.31,1.06,6.37,6.37,0,1.06,40.36,0,13.81,3.19,1.06,229.4,1.06,0,3.19,5.31,10.62,1.06,1.06,0,0
 96-106,2.19,0,253.54,1.09,1.09,15.3,56.83,0,3.28,28.41,1.09,34.97,29.51,19.67,7.65,0,13.11,16.39,0,0,42.62,0,26.23,5.46,0,185.78,0,0,1.09,3.28,15.3,0,1.09,1.09,0
108-118,2.3,0,271.92,0,11.49,3.83,85.02,0,1.53,31.4,0,24.51,25.28,4.6,9.96,0.77,14.55,9.96,0,0,45.96,0.77,13.79,6.89,0.77,149.36,0,0,3.06,2.3,27.57,0,3.06,0,0
120,1.96,0,248.89,1.96,0,0,62.71,1.96,5.88,31.36,0,33.32,19.6,17.64,7.84,0,7.84,11.76,0,1.96,41.16,0,13.72,5.88,0,117.59,0,0,3.92,1.96,9.8,0,0,0,0
