stage,blastomeres,erythrocytes,eye,immune,mesenchyme,neural,notochord,otic,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,8,0,1,0,0,0,1,0,3
 24-34,0,0,2.46,0.82,0,0,0.82,0,1.64,0
 36-46,0,0,6.45,0.81,0,0.81,0,0,0,0
 48-58,0,0,4.02,1.15,0,1.15,0,0,0,0
 60-70,0,0.98,3.93,1.96,0,2.94,0,0,0,0
 72-82,0,1.96,3.93,9.82,0.98,0.98,0,0,0,0
 84-94,0,3.19,0,11.68,0,0,0,0,0,1.06
 96-106,0,7.65,1.09,16.39,0,0,0,0,0,0
108-118,0,3.83,0,12.26,0,0.77,0,0,0,0
120,0,1.96,0,13.72,0,0,0,0,0,0
