stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,6.29,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,2,0,2,5,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,4.93,0,3.28,11.49,0,0,0,0,0,4.1,0,0.82,2.46,2.46,0,0
 36-46,0,0,1.61,0,0.81,0,0,0.81,0.81,0,0,0.81,0,0,0,0,7.25,0,2.42,8.86,0.81,0,0,0,0,4.83,0,0,8.86,0,0,0
 48-58,0,0,0.57,0,1.15,0.57,0.57,0.57,1.15,0,0,0,0,0,0,0,4.59,0,0.57,2.87,1.15,0,0.57,0,0.57,0,0,0,1.72,0.57,0,0.57
 60-70,0,0,1.96,0,0,0,0,0,2.94,0,0,0,0,0,0,0,11.78,0,0.98,5.89,0,0,0,0,0,0.98,0,0,4.91,1.96,0,0
 72-82,0,0,0,0,1.96,0,0,0,9.82,0,0,0,0,0,0.98,0,21.6,0,0,5.89,0,0,0,0,1.96,3.93,0,0,0,0,1.96,0
 84-94,0,0,2.12,1.06,1.06,0,0,1.06,1.06,0,0,0,1.06,0,0,0,9.56,0,1.06,1.06,2.12,1.06,0,0,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,3.28,3.28,1.09,0,1.09,0,8.74,1.09,0,0,1.09,1.09,0,1.09,15.3,1.09,0,1.09,0,0,1.09,0,0,2.19,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,1.53,0.77,0.77,0,4.6,0.77,0,0,0,0,0,0,12.26,1.53,0,4.6,0,0,0,0,0,3.06,0,0,0,1.53,0,0
120,0,0,1.96,0,1.96,0,0,1.96,3.92,0,0,0,0,0,0,0,7.84,1.96,1.96,1.96,3.92,0,0,0,0,0,1.96,0,1.96,0,0,0
