stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1,1,1,1,0,0,0,4,14,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,6.57,0,0,0,0,0,0.82,0,0,0,0,0,0,6.57,0,0,0.82,172.38,0.82,1.64,0.82,0,0,0,0,0,34.48,0,0,0,0
 36-46,0,0,0,0,0,0,44.31,0,0,0,16.92,0,0.81,0,0,0.81,0,0,0,7.25,0,0,0.81,285.21,0,0.81,1.61,0,0.81,0,0,0,63.65,0,1.61,0,0
 48-58,0,0,0,0,0,0,80.33,0,0.57,0,72.3,0,1.15,0.57,0.57,2.3,1.15,0,0,14.92,0,0.57,2.3,295.51,0.57,0,2.3,0,0.57,0,0,0,29.84,0,0,0,0.57
 60-70,0.98,0,0,3.93,0.98,0,112.88,0,0.98,0,179.62,0,0,0,0,20.61,0,0.98,0,25.52,0,1.96,0.98,319.98,0.98,0,12.76,0,0,0.98,0,0,27.48,0,1.96,0,1.96
 72-82,0,0,0,1.96,0,0,104.06,0,0,1.96,385.79,2.94,0,0.98,0,20.61,0.98,0.98,0,41.23,0,1.96,1.96,317.08,0,0.98,28.47,0,1.96,0,0,0,15.71,5.89,4.91,0,0
 84-94,0,0,0,9.56,1.06,0,87.09,1.06,0,1.06,320.74,1.06,0,0,0,10.62,1.06,1.06,0,36.11,1.06,5.31,6.37,214.53,0,1.06,24.43,0,4.25,0,1.06,0,9.56,3.19,3.19,0,0
 96-106,0,0,0,26.23,3.28,1.09,80.87,1.09,5.46,1.09,450.25,4.37,2.19,4.37,1.09,7.65,1.09,3.28,0,44.81,0,0,3.28,189.06,1.09,0,30.6,0,9.84,1.09,0,0,7.65,8.74,1.09,1.09,0
108-118,0,0,0,12.26,2.3,0,37.53,0,0.77,0,404.43,0.77,0,1.53,0.77,6.13,0,0,0.77,37.53,0,0.77,4.6,158.55,0,1.53,32.17,0,3.83,0,0,0,5.36,0.77,3.83,0,0.77
120,0,0,0,7.84,3.92,0,39.2,1.96,3.92,1.96,429.19,0,0,1.96,1.96,3.92,3.92,5.88,0,21.56,0,0,3.92,129.35,0,1.96,13.72,0,5.88,0,0,0,5.88,3.92,1.96,0,1.96
