stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,34.62,0,0,12.59,0,0,0,0,0
 14-21,0,0,1,136,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,10,0,3,1,0,73,0
 24-34,0,0,0,18.06,0,0.82,0,0,0,12.31,4.93,0,0,0.82,0,5.75,0,0.82,0,0.82,0,1.64,2.46,0,0,287.3,0
 36-46,0,0,0,1.61,0.81,0.81,0,0,0,1.61,8.06,0,0,2.42,0,6.45,0,0,0,0,0,0,0,0,0,173.22,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,5.74,8.03,0,0,1.15,0,2.3,0.57,0,0,0.57,0,0,0,0.57,0,164.68,0
 60-70,0,0,0,0,0.98,0,0,0,0,4.91,19.63,0,0,2.94,0,3.93,0,0,0,0.98,0,1.96,0,0.98,0.98,117.78,0
 72-82,0,0.98,0,0,3.93,0,0,0.98,0,5.89,26.5,0.98,0,3.93,0,7.85,0,0,0,0.98,0,0,0,0,0.98,224.8,0
 84-94,0,0,1.06,1.06,1.06,1.06,1.06,0,0,4.25,42.48,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,206.04,0
 96-106,0,0,2.19,2.19,3.28,0,1.09,0,0,3.28,33.88,0,0,1.09,1.09,3.28,0,0,0,0,0,0,0,0,0,220.76,0
108-118,0,0,0.77,0.77,3.06,0,0,0,0,1.53,32.17,0,0.77,5.36,0,2.3,0,0,0,0,0,0,0,0,0,174.64,1.53
120,0,0,0,0,0,0,0,0,1.96,0,27.44,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,135.23,0
