stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
 24-34,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,1.64,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0,1.15,0,0,0,0,0,4.59,0,0,0.57,0.57,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0,26.5,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,2.94,0,1.96,0,0,7.85,0,0,0.98,1.96,2.94,0.98,0,0,0,0,0,135.47,0,2.94,0,0,0.98,24.54,0,0,0,0.98,0.98,0,0,0,0,2.94,0,0,0,0,0.98
 84-94,0,4.25,0,3.19,0,0,3.19,0,1.06,1.06,3.19,5.31,0,0,2.12,0,1.06,0,453.49,0,3.19,0,0,1.06,24.43,0,0,0,0,2.12,0,4.25,0,0,0,0,0,2.12,0,0
 96-106,0,9.84,0,6.56,12.02,4.37,19.67,1.09,1.09,3.28,5.46,9.84,0,1.09,4.37,1.09,1.09,0,744.23,0,15.3,2.19,2.19,1.09,125.68,0,2.19,0,0,6.56,0,4.37,0,0,2.19,0,1.09,2.19,0,0
108-118,0,7.66,0,2.3,1.53,3.83,29.11,0,3.06,1.53,5.36,9.96,0,0.77,1.53,0,0,1.53,1408.61,0.77,13.02,0,0,0.77,100.34,0,0.77,0,0,4.6,0,3.83,0.77,0,0.77,0,0,1.53,1.53,0.77
120,0,1.96,0,0,5.88,1.96,5.88,0,0,0,0,0,0,0,0,1.96,0,0,691.8,0,11.76,1.96,0,0,50.95,0,0,0,0,1.96,0,1.96,1.96,0,0,0,1.96,0,1.96,0
