stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,39.53,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,3.15,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,20,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,16,0,0,0,0,0
 24-34,0,0,0.82,0,22.98,0,0,0,1.64,0.82,0,0,0,0.82,4.93,1.64,0,0,0,0,0.82,7.39,3.28,0.82,0,0,96.04,0,0.82,0,0,0
 36-46,0,0,0,0,7.25,0,0,0,0.81,0,0,0.81,0,0,0.81,1.61,0,0,0,0.81,0,4.03,5.64,0,0,0,67.68,0,0.81,0,0,0.81
 48-58,0,0,0,0,5.74,0,1.15,0,1.15,0,0.57,0,0.57,0,1.15,1.72,0,0,0.57,1.15,0.57,3.44,4.59,0,0,0,40.17,0,0,0,0,0
 60-70,0,0,0,0,14.72,0,0.98,0,2.94,0.98,0,0,0,0,1.96,1.96,0,13.74,0.98,0,0,7.85,2.94,1.96,0,0,53,0.98,0.98,0.98,0,0
 72-82,0,0,0.98,0,10.8,0,0.98,0,5.89,0,0,2.94,0,0,3.93,1.96,0,14.72,0,0,0.98,2.94,4.91,0,0,0,42.21,0,0,2.94,0,0
 84-94,0,0,0,0,42.48,1.06,0,1.06,4.25,0,0,3.19,0,2.12,5.31,2.12,0,7.43,1.06,3.19,0,6.37,4.25,2.12,0,0,114.7,0,0,0,0,0
 96-106,0,0,0,0,26.23,0,3.28,0,5.46,0,0,2.19,1.09,0,8.74,5.46,1.09,15.3,0,5.46,0,3.28,15.3,5.46,0,1.09,85.24,0,1.09,2.19,1.09,0
108-118,0,0,0.77,0,19.92,0,0.77,0,6.13,0,1.53,1.53,0,0.77,4.6,1.53,0,9.96,1.53,4.6,0,2.3,5.36,0.77,0,0,65.11,0,0,3.83,0.77,0
120,0,0,0,0,33.32,0,1.96,0,5.88,0,0,1.96,1.96,1.96,0,3.92,0,1.96,0,3.92,0,7.84,3.92,0,0,0,68.59,0,0,5.88,0,0
