stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,13,153,20,0,0,0,1,0,0,11,0,1,0,0,23,0,0,3,21,62,0,1,0,1,14,2,3,4,4,0,0,44,0,1
 24-34,0,0,1.64,21.34,3.28,59.92,0,4.1,0,2.46,0,0,14.78,0,0,0,0,13.13,0,0,4.1,12.31,41.04,0,0,0.82,0.82,0,8.21,1.64,2.46,4.93,0,0,116.56,0,0
 36-46,0,0,0,4.03,0,41.09,0.81,2.42,0,1.61,0,0.81,15.31,0.81,0,0,0,13.7,0.81,0,0.81,30.62,33.84,1.61,0,0,0.81,0,4.83,0.81,0,5.64,0,0,57.2,0,0
 48-58,0,0,0,4.59,1.15,49.35,1.15,2.3,0,0.57,0,0.57,14.35,2.87,0,0,0,22.38,2.3,0,0.57,13.77,14.35,0,0,0,0.57,0,0.57,0.57,0,3.44,0,0,47.63,0,0.57
 60-70,0,0,0,6.87,0.98,61.84,0.98,6.87,1.96,1.96,0,0,17.67,2.94,0.98,0,0,39.26,1.96,0.98,3.93,12.76,8.83,0.98,0,0,0,0,1.96,0.98,0,0.98,0,2.94,43.19,0,0
 72-82,0,0,0,0.98,2.94,117.8,0.98,2.94,1.96,3.93,0.98,0.98,19.63,1.96,0,0,0.98,67.73,0,0,0.98,15.71,9.82,0.98,0,1.96,0,0,0,0,0,1.96,0,0,106.02,0,0.98
 84-94,0,0,0,3.19,5.31,139.13,1.06,3.19,0,3.19,0,2.12,7.43,7.43,1.06,0,1.06,42.48,2.12,3.19,0,1.06,21.24,1.06,0,0,0,0,2.12,0,0,0,0,1.06,75.4,0,0
 96-106,0,0,2.19,5.46,2.19,123.49,2.19,3.28,2.19,3.28,0,0,30.6,1.09,0,1.09,2.19,34.97,3.28,2.19,0,13.11,14.21,2.19,0,2.19,0,0,1.09,0,0,0,1.09,2.19,103.82,1.09,0
108-118,0,0,0,6.89,2.3,114.89,0.77,4.6,0,3.06,0,0,13.02,3.83,0,1.53,4.6,33.7,0,3.83,0.77,10.72,12.26,0,0,2.3,2.3,0,3.83,0,0,1.53,0,0,87.32,0,0.77
120,0,0,0,1.96,1.96,78.39,0,1.96,1.96,1.96,1.96,0,19.6,7.84,1.96,1.96,0,17.64,1.96,0,1.96,9.8,27.44,0,1.96,0,0,0,5.88,0,0,0,1.96,1.96,56.83,0,0
