stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,7,0,0,0,2,0,1,0,0,0,0,0,0,16,0,0,13,87,3,1,0,0,0,5,1,2,2,0,7,61,0,0,0,0,0
 24-34,0,0,0,18.06,0.82,14.78,0,4.93,0.82,4.93,0,2.46,0,1.64,0,0.82,0,0.82,31.19,1.64,0,9.85,257.75,9.03,9.03,1.64,0,0,17.24,0,0,0.82,0,0,161.71,0,0,4.1,0,0
 36-46,0,0,0,8.06,0,15.31,0,2.42,0,16.92,0.81,0.81,0,2.42,0.81,0,0.81,0,35.45,0.81,0,12.09,439.09,0.81,10.47,0.81,0,0,11.28,0,0,0,0,0,199.81,0,0,1.61,0,0
 48-58,0,0,0,5.74,0,98.12,0,1.72,4.02,21.8,1.15,1.72,2.87,0.57,0.57,0.57,0.57,0,51.64,0.57,1.15,6.89,617.41,1.15,12.05,0.57,0,0,8.03,0,0,0,0,0,210.59,0,1.15,2.3,0,1.15
 60-70,0,0,0,5.89,0,129.56,1.96,5.89,1.96,25.52,4.91,2.94,2.94,0.98,0,0.98,0,0,68.71,0,0.98,6.87,521.19,1.96,5.89,1.96,0,0.98,10.8,0,0,0.98,0.98,0,109.93,0,3.93,5.89,0,0
 72-82,0,0,0.98,8.83,0.98,130.56,0,2.94,6.87,34.36,1.96,3.93,7.85,0,1.96,2.94,0,0,145.29,0.98,4.91,14.72,381.87,0.98,18.65,1.96,0,3.93,8.83,0,0,0,0,0,56.94,0.98,2.94,7.85,0,0.98
 84-94,0,0,0,19.12,0,80.71,0,3.19,8.5,22.3,11.68,4.25,9.56,2.12,0,0,0,0,71.16,0,5.31,6.37,192.23,0,8.5,6.37,0,1.06,33.99,0,0,0,0,0,30.8,1.06,4.25,5.31,2.12,0
 96-106,0,0,0,19.67,1.09,67.76,2.19,3.28,2.19,20.76,3.28,2.19,9.84,2.19,0,3.28,2.19,0,57.92,0,4.37,3.28,132.23,2.19,12.02,1.09,0,2.19,17.49,0,0,0,0,0,18.58,0,2.19,8.74,3.28,0
108-118,0,0,0,27.57,0.77,60.51,2.3,3.83,3.83,18.38,12.26,3.83,9.19,3.83,0,0.77,1.53,0,58.21,3.06,2.3,5.36,211.41,0.77,8.43,4.6,0,4.6,17.62,0,0,0.77,0,0,12.26,1.53,5.36,9.96,0.77,0.77
120,0,0,0,23.52,0,80.35,0,7.84,7.84,9.8,7.84,5.88,27.44,3.92,1.96,0,0,0,33.32,0,1.96,3.92,205.78,1.96,9.8,1.96,0,9.8,17.64,1.96,0,0,0,0,11.76,1.96,0,5.88,0,0
