stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.26,0,7.89,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,53.5,18.88,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,34,1,0,1,0,0,0,0,2,0,0,2,110,0,0,1,0,0
 24-34,0,4.1,0,1.64,0,0,2.46,0,0,0,1.64,0,0,0,0,0.82,0,0,0.82,4.93,0,0,0,184.69,0.82,0,0.82,0,0,0,0,0,0,0,0,128.87,0,0,0.82,0,0
 36-46,0,4.03,0,1.61,0,0,7.25,0,0,0,2.42,0,0,0.81,0,0,0,0.81,0,6.45,0,0,0.81,455.2,0,3.22,0,0,0,0,0,0,0,0.81,0,153.88,0,0,1.61,0,0.81
 48-58,0.57,2.3,0,2.3,0,0,53.36,0,0,0,5.74,0.57,0,0.57,0,0,0,0,0,15.49,0,9.75,2.87,538.8,0.57,1.72,0,0,0,1.15,0,0,0.57,0,0,142.3,0,1.15,1.15,0.57,1.72
 60-70,0,0,0,1.96,0,0,208.08,0,0.98,0,7.85,0.98,0,0,0,0,0,0,0,36.32,0,24.54,4.91,884.35,0,0,0,0,0,0.98,0,0,0.98,0,0,107.97,0,28.46,0.98,22.58,0
 72-82,0,10.8,0,3.93,0,0,402.48,0,0.98,3.93,35.34,11.78,0,2.94,1.96,0,0,0,0,87.37,0,41.23,2.94,894.29,0.98,7.85,0,0,1.96,3.93,0,0,0,0,0,116.82,0.98,46.14,5.89,53.99,2.94
 84-94,0,7.43,0,9.56,0,0,242.14,2.12,0,1.06,28.68,20.18,0,0,1.06,0,0,0,0,56.29,1.06,46.73,2.12,452.43,1.06,3.19,0,0,2.12,3.19,1.06,0,0,0,0,62.66,0,46.73,4.25,64.78,1.06
 96-106,0,5.46,0,6.56,2.19,0,199.99,0,0,1.09,33.88,13.11,0,3.28,0,1.09,2.19,1.09,0,61.2,1.09,32.79,6.56,393.42,0,4.37,2.19,0,10.93,2.19,1.09,0,0,1.09,0,42.62,1.09,52.46,3.28,63.39,2.19
108-118,0,8.43,0,3.06,0,0.77,137.87,0.77,1.53,1.53,27.57,7.66,0,1.53,0,0,0,0,0,44.43,0,26.04,1.53,488.68,0.77,4.6,0.77,0,6.13,2.3,0,0,0.77,0,0,29.87,2.3,39.83,2.3,42.13,0.77
120,0,7.84,0,5.88,0,0,88.19,0,0,0,19.6,11.76,0,5.88,3.92,0,0,0,0,23.52,0,21.56,0,390,1.96,5.88,0,0,5.88,0,0,0,0,0,0,19.6,1.96,31.36,0,17.64,0
