stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,4,0,0
 24-34,0,4.1,0,0,0,0,0,0.82,0,0,0,3.28,0,0.82,32.83,0.82,0,0,0,1.64,0,0.82,0.82,3.28,0.82,0
 36-46,1.61,4.03,0,0,0,0,0,0,0,0,0,3.22,0,0,9.67,0,0,0,0,2.42,0,0,0,0,1.61,0
 48-58,1.15,3.44,0.57,0,1.72,0.57,0,0,0.57,0,0,4.59,0,0.57,8.03,0.57,0.57,0.57,0,1.72,0,0,0,0,0,0
 60-70,2.94,8.83,0.98,0,0,0,0,0.98,0,0,0.98,2.94,0,0.98,8.83,0,0,0.98,0,4.91,0,0,0,0,1.96,0
 72-82,0,3.93,0,0,1.96,0,0,0,0,0,0,4.91,0,0.98,8.83,0,0,0,0,1.96,0,0,0,0.98,0,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,1.06,0,3.19,1.06,2.12,0,1.06,0,1.06,2.12,0,0,0,0,0,1.06,1.06
 96-106,1.09,2.19,0,0,1.09,0,0,0,0,0,0,1.09,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.77,3.83,0,0,0,0,0,0,0,0,0,0.77,0
120,1.96,1.96,0,1.96,1.96,1.96,1.96,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
