stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,gut,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,37.76,0,0,3.15,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,7.43,1.06,0,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,10.93,1.09,19.67,0,1.09,1.09,5.46,0,2.19,0,1.09,0,0,0,0
108-118,0,0.77,0,12.26,0.77,27.57,1.53,0.77,0,4.6,0,1.53,3.83,0,0,0.77,0.77,0.77
120,0,0,0,5.88,0,21.56,0,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0
