stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,34.17,0,68.35,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,78.67,0,31.47,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,55,0,22,0,0,0,0,1,1,0,0,0,0,1,18,1,1,0,2,18,6,0,1,8,0,59,0,53,0,3,19,2,0,0,51,0,26
 24-34,0,0,0,1.64,2.46,0,28.73,0,0.82,0.82,0,0.82,0,1.64,0.82,3.28,0,1.64,41.86,4.1,0.82,0,4.1,18.88,0.82,0.82,0,0.82,0,53.36,0,0,3.28,0.82,14.78,2.46,0,0,114.92,0,53.36
 36-46,0,0,0,1.61,0,0,5.64,1.61,0.81,1.61,0,0,0,3.22,1.61,4.83,0,0.81,22.56,4.83,1.61,0,13.7,12.89,0.81,0,0,0,0,31.42,0,0,3.22,0.81,0,2.42,0,0,58.01,0,39.48
 48-58,0,0,0,1.15,0,0,18.94,0,1.72,4.59,0,0,0.57,1.15,0,5.16,0,0,14.92,7.46,1.15,0,8.61,10.33,0.57,0,0,0,0,24.67,0,0,3.44,0.57,0,2.87,0,0,30.99,0,48.77
 60-70,0,0,0,3.93,0,0,12.76,0,2.94,7.85,0.98,0,0,0,0,7.85,0,0,4.91,10.8,0,0,0.98,2.94,0,0,0,0,0,22.58,0,0,4.91,0,0,0.98,0.98,0,14.72,0,14.72
 72-82,0,0,0,8.83,0,0,5.89,0,0.98,1.96,2.94,0,0.98,0.98,0,13.74,0,0,6.87,14.72,0,0.98,0.98,8.83,0,0,1.96,0,0,18.65,0,0,15.71,0,0,0.98,0.98,0.98,30.43,0,12.76
 84-94,0,0,0,7.43,0,0,15.93,0,3.19,4.25,5.31,0,0,2.12,1.06,23.36,0,2.12,3.19,24.43,0,2.12,1.06,8.5,0,0,0,0,0,60.54,0,0,26.55,0,0,0,0,2.12,35.05,0,11.68
 96-106,0,0,0,15.3,1.09,0,13.11,1.09,2.19,2.19,10.93,0,1.09,3.28,3.28,21.86,1.09,1.09,0,18.58,1.09,0,2.19,10.93,0,0,0,0,1.09,48.09,0,0,22.95,0,0,1.09,1.09,1.09,45.9,1.09,19.67
108-118,0,0,0,10.72,0,0,4.6,3.06,0,4.6,12.26,0,0.77,5.36,1.53,22.21,0,0,4.6,18.38,1.53,0.77,1.53,3.06,0,0,0,0,3.06,34.47,0,0,15.32,0,0,0.77,0,0,36.77,0.77,22.98
120,0,0,0,9.8,1.96,1.96,0,3.92,0,1.96,19.6,0,0,0,1.96,13.72,0,1.96,3.92,19.6,0,1.96,0,7.84,1.96,0,0,0,1.96,50.95,0,0,5.88,0,0,0,0,0,21.56,0,7.84
