stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,0,10.51,0,0,0,70.98,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,573.06,31.54,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,0,91.26,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,418.55,144.76,0,0,100.7,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,5,44,0,0,16,0,10,0,8,3,0,11,0,4,0,0,0,21,0,0,16,489,106,2,44,15,0,1,0,18,1,145,448,133,0,0,1,0,0
 24-34,0,0,2.46,5.75,19.7,4.1,0,52.53,1.64,27.09,0,8.21,0,0,1.64,0,24.63,0,0,3.28,30.37,1.64,0,13.95,1260.01,9.03,2.46,12.31,0,0,2.46,0,0,3.28,13.13,90.29,165.81,0,0,0,0,0.82
 36-46,0,0,0,1.61,12.09,0.81,0,168.38,1.61,12.09,0.81,29.81,0.81,0,0,0.81,5.64,0,3.22,2.42,50.76,1.61,0,6.45,1621.01,4.83,4.83,4.03,0.81,0.81,2.42,0.81,0,1.61,5.64,4.03,161.94,0,0,1.61,0,0.81
 48-58,0,0,0,0,14.35,1.15,0,228.37,6.31,13.2,1.15,43.61,0.57,1.15,0,0,2.3,0,3.44,2.87,95.83,1.15,0.57,12.62,867.02,2.3,0.57,6.31,0,0,0,0,0,1.15,2.87,0,99.27,0,0.57,1.72,0,2.87
 60-70,0,0,0.98,0,48.09,0.98,0,226.73,6.87,12.76,1.96,60.85,0.98,0,0,0,1.96,0,8.83,0.98,165.88,0.98,0.98,8.83,619.34,0.98,0,6.87,0.98,0,2.94,0,0,5.89,3.93,0,81.47,1.96,3.93,0.98,0.98,0
 72-82,0,0,6.87,0,54.97,3.93,0,157.07,5.89,8.83,2.94,58.9,6.87,0,0.98,0,10.8,1.96,14.72,2.94,194.37,0,2.94,3.93,427.02,2.94,0.98,4.91,0.98,0,0.98,0,0,1.96,0.98,0,33.38,16.69,6.87,4.91,4.91,0
 84-94,0,0,4.25,0,87.09,6.37,1.06,117.89,5.31,11.68,6.37,37.17,11.68,0,1.06,0,18.05,2.12,8.5,2.12,121.07,1.06,1.06,6.37,217.72,3.19,5.31,4.25,0,0,4.25,0,0,0,3.19,0,12.74,83.9,7.43,0,9.56,1.06
 96-106,0,0,3.28,0,92.89,6.56,2.19,96.17,1.09,9.84,1.09,46.99,20.76,0,0,2.19,14.21,2.19,25.14,2.19,111.47,0,1.09,2.19,205.46,2.19,3.28,10.93,0,0,9.84,0,0,1.09,0,0,15.3,120.21,7.65,3.28,9.84,0
108-118,0,0,1.53,0.77,89.62,5.36,4.6,75.83,7.66,13.79,3.06,29.87,25.28,0,1.53,3.83,23.74,0,17.62,6.89,77.36,0.77,0.77,6.89,211.41,3.83,3.06,6.13,0,0.77,3.83,0,0,0,2.3,0,4.6,151.66,6.89,3.83,4.6,0
120,0,0,1.96,0,76.43,5.88,1.96,58.79,3.92,1.96,0,31.36,11.76,0,0,3.92,11.76,0,13.72,7.84,74.47,1.96,1.96,7.84,221.46,0,1.96,5.88,0,0,1.96,0,0,0,1.96,0,13.72,47.03,5.88,3.92,1.96,0
