stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,1,0,28,0,0,0,1,0,6,0,4,0,0,0,1,34,52,0
 24-34,0,0,0,0.82,0,0.82,0,25.45,0,0.82,0,1.64,2.46,9.85,6.57,1.64,0,0,0,0,18.06,46.79,0
 36-46,0,0,0,0,0,0,0,22.56,0,0,0,2.42,0.81,16.11,6.45,0.81,0,0.81,0,0,9.67,31.42,0
 48-58,0,0,0,0,0,3.44,0,33.28,0,0.57,0.57,3.44,0.57,9.18,4.02,1.15,0,0,0,0,2.87,26.97,1.15
 60-70,0,0,0,0,0,0.98,0,33.37,0,3.93,0,3.93,0.98,8.83,6.87,5.89,0,0,0,0,0.98,17.67,0
 72-82,0,0,0,0,0,3.93,0.98,42.21,0,4.91,0,1.96,0,8.83,12.76,7.85,0,0.98,0,0,0.98,9.82,0
 84-94,0,0,1.06,0,0,5.31,1.06,24.43,0,3.19,0,2.12,1.06,5.31,10.62,10.62,0,1.06,1.06,0,4.25,10.62,0
 96-106,0,0,0,0,0,3.28,0,24.04,0,12.02,0,3.28,1.09,4.37,12.02,7.65,0,0,0,0,3.28,4.37,0
108-118,0,0,0,1.53,0.77,3.06,0,16.85,0.77,6.89,0,3.06,0.77,4.6,8.43,9.96,0,0,0,0,3.06,3.06,0
120,0,0,0,0,0,1.96,0,15.68,0,5.88,0,0,1.96,5.88,3.92,3.92,0,0,0,0,3.92,3.92,0
